date,n_uni,n_active,n_pump10,n_pump20,frac_pump10,frac_pump20,breadth,cs_ret_std,tot_qv,btc_ret,btc_rv,btc_above_ma,f_n_pump10_l1,f_n_pump10_l2,f_n_pump10_3d,f_n_pump10_5d,f_n_pump20_l1,f_n_pump20_3d,f_breadth_l1,f_cs_ret_std_l1,f_qv_ratio,f_btc_ret_l1,f_btc_rv_l1,f_btc_above_ma_l1,f_pump_momo
2023-09-03,100,103,2.0,1.0,0.02,0.01,0.4,0.019093512658049705,705221148464.5294,0.0029498546464211185,0.022544571066747277,0.0,1.0,1.0,1.0,2.2,0.0,0.0,0.47,0.021478465087129573,0.8089115419464568,-0.0041386798310164225,0.022573520140602814,0.0,-1.2000000000000002
2023-09-04,100,103,0.0,0.0,0.0,0.0,0.2,0.013109245321109107,632373831873.7786,-0.008447269331696636,0.022467933928727066,0.0,2.0,1.0,1.3333333333333333,1.2,1.0,0.3333333333333333,0.4,0.019093512658049705,0.7197102160610794,0.0029498546464211185,0.022544571066747277,0.0,0.8
2023-09-05,100,103,2.0,0.0,0.02,0.0,0.84,0.015576549915129205,534387873399.3529,0.001284485026820974,0.022498345263007667,0.0,0.0,2.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.013109245321109107,0.6493339862631909,-0.008447269331696636,0.022467933928727066,0.0,-1.0
2023-09-06,100,103,1.0,0.0,0.01,0.0,0.47,0.011430933150131248,592574970595.7488,-0.000770493010936253,0.017789329909359834,0.0,2.0,0.0,1.3333333333333333,1.2,0.0,0.3333333333333333,0.84,0.015576549915129205,0.563559128506471,0.001284485026820974,0.022498345263007667,0.0,0.8
2023-09-07,100,103,1.0,0.0,0.01,0.0,0.82,0.014715855259018654,451064675882.7887,0.016590607588142764,0.017783536703369855,0.0,1.0,2.0,1.0,1.2,0.0,0.0,0.47,0.011430933150131248,0.7143225003618523,-0.000770493010936253,0.017789329909359834,0.0,-0.19999999999999996
2023-09-08,100,103,2.0,0.0,0.02,0.0,0.3,0.014881431658643491,455545973411.92224,-0.009025586582881648,0.017843179113740042,0.0,1.0,1.0,1.3333333333333333,1.2,0.0,0.0,0.82,0.014715855259018654,0.5973698554218255,0.016590607588142764,0.017783536703369855,0.0,-0.19999999999999996
2023-09-09,100,103,2.0,0.0,0.02,0.0,0.43,0.018476458129984944,531627962971.5269,-0.00042507970884490836,0.01783795237842832,0.0,2.0,1.0,1.3333333333333333,1.2,0.0,0.0,0.3,0.014881431658643491,0.6494443158254861,-0.009025586582881648,0.017843179113740042,0.0,0.8
2023-09-10,100,103,2.0,0.0,0.02,0.0,0.1,0.024170844959420703,392542345053.09344,-0.0023837913552762504,0.017815941763890474,0.0,2.0,2.0,1.6666666666666667,1.6,0.0,0.0,0.43,0.018476458129984944,0.7755968124355411,-0.00042507970884490836,0.01783795237842832,0.0,0.3999999999999999
2023-09-11,100,103,0.0,0.0,0.0,0.0,0.02,0.015067383065490684,675403852823.8776,-0.025000223257154484,0.01862084547727164,0.0,2.0,2.0,2.0,1.6,0.0,0.0,0.1,0.024170844959420703,0.5923449104349778,-0.0023837913552762504,0.017815941763890474,0.0,0.3999999999999999
2023-09-12,100,103,3.0,0.0,0.03,0.0,0.64,0.019185405195552795,891818117906.2722,0.021613428506740962,0.019261598565678596,0.0,0.0,2.0,1.3333333333333333,1.4,0.0,0.0,0.02,0.015067383065490684,1.0264278267063978,-0.025000223257154484,0.01862084547727164,0.0,-1.4
2023-09-13,100,103,6.0,0.0,0.06,0.0,0.97,0.020516584248541737,816047870481.5894,0.011902540835294415,0.019394230829300346,1.0,3.0,0.0,1.6666666666666667,1.8,0.0,0.0,0.64,0.019185405195552795,1.3363736341749255,0.021613428506740962,0.019261598565678596,0.0,1.2
