market,date,regime,p_lab_up_05,p_lab_up_10,p_lab_up_15,p_lab_up_20,p_lab_dn_03,p_lab_dn_05,p_lab_dn_10,p_lab_close_neg,exp_downside,med_downside,rr_ratio,rr_pen_lam2,upside_only_rank,rr_rank
KRW-BARD,2026-05-31,bear_quiet,0.182604398319743,0.05494233937397035,0.02742772424017791,0.009883864591055103,0.38711802981632487,0.11605304340663866,0.010707519973643028,0.48340334404085333,-0.026961490044140706,-0.02107409925221171,0.473424373555269,-0.17716374743930696,49,21
KRW-ETHFI,2026-05-31,bear_quiet,0.1530351700848365,0.038299975290338524,0.013178486121406803,0.004530104604233589,0.23630672926447574,0.11605304340663866,0.005106663372045136,0.571287373362985,-0.026961490044140706,-0.02107409925221171,0.3300212916962385,-0.1938061115229388,55,22
KRW-FIL,2026-05-31,bear_quiet,0.1530351700848365,0.028498476237542213,0.007412898443291327,0.004530104604233589,0.32336710320401946,0.11605304340663866,0.010707519973643028,0.6005271394448563,-0.026961490044140706,-0.02107409925221171,0.24556422995031937,-0.20360761057573512,67,23
KRW-GRT,2026-05-31,bear_quiet,0.1530351700848365,0.028498476237542213,0.013178486121406803,0.006260296540362438,0.32336710320401946,0.11605304340663866,0.010707519973643028,0.6005271394448563,-0.026961490044140706,-0.02107409925221171,0.24556422995031937,-0.20360761057573512,67,23
KRW-BERA,2026-05-31,bear_quiet,0.1530351700848365,0.028498476237542213,0.007412898443291327,0.004530104604233589,0.38711802981632487,0.11605304340663866,0.005106663372045136,0.571287373362985,-0.026961490044140706,-0.02107409925221171,0.24556422995031937,-0.20360761057573512,67,23
KRW-TAO,2026-05-31,bear_quiet,0.08162424841446339,0.01828514949345194,0.003953545836422041,0.0014825796886582653,0.32336710320401946,0.11605304340663866,0.005106663372045136,0.571287373362985,-0.026961490044140706,-0.02107409925221171,0.15755855216465578,-0.21382093731982538,73,26
KRW-STX,2026-05-31,bear_quiet,0.1146528292562392,0.01828514949345194,0.003953545836422041,8.236553825879252e-05,0.23630672926447574,0.11605304340663866,0.010707519973643028,0.5479406919275124,-0.026961490044140706,-0.02107409925221171,0.15755855216465578,-0.21382093731982538,73,26
KRW-TRUMP,2026-05-31,bear_quiet,0.1146528292562392,0.01828514949345194,0.007412898443291327,8.236553825879252e-05,0.32336710320401946,0.11605304340663866,0.005106663372045136,0.6005271394448563,-0.026961490044140706,-0.02107409925221171,0.15755855216465578,-0.21382093731982538,73,26
KRW-ARB,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,0.007412898443291327,0.0005765587678115477,0.32336710320401946,0.11605304340663866,0.010707519973643028,0.5479406919275124,-0.026961490044140706,-0.02107409925221171,0.0943931866572037,-0.22115147022485793,84,29
KRW-CVC,2026-05-31,bear_quiet,0.21787479406919275,0.07767070257804135,0.02742772424017791,0.02001482579688658,0.38711802981632487,0.1541059220822008,0.03056013179571664,0.6005271394448563,-0.029434220452803767,-0.023813919143437334,0.5040085515766969,-0.23054114158636027,37,30
KRW-MOVE,2026-05-31,bear_quiet,0.26941767564451036,0.07767070257804135,0.043571369738901244,0.02001482579688658,0.32336710320401946,0.1541059220822008,0.01927353595255745,0.571287373362985,-0.029434220452803767,-0.023813919143437334,0.5040085515766969,-0.23054114158636027,37,30
KRW-ZKP,2026-05-31,bear_quiet,0.1530351700848365,0.07767070257804135,0.043571369738901244,0.036735030063421464,0.38711802981632487,0.1541059220822008,0.033934601762622515,0.571287373362985,-0.029434220452803767,-0.023813919143437334,0.5040085515766969,-0.23054114158636027,37,30
KRW-VET,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.1642368832880323,0.036735030063421464,0.4398319743019521,0.18861708261263488,0.010707519973643028,0.6399802322708179,-0.032141016955413854,-0.02640264026402972,0.7720524017467248,-0.23161189358372458,12,33
KRW-BLAST,2026-05-31,bear_quiet,0.32130796474754963,0.14562227164154518,0.1642368832880323,0.10386294374433737,0.4971169686985173,0.18861708261263488,0.03056013179571664,0.7129560991681081,-0.032141016955413854,-0.02640264026402972,0.7720524017467248,-0.23161189358372458,12,33
KRW-KITE,2026-05-31,bear_quiet,0.1530351700848365,0.038299975290338524,0.02116968698517298,0.0014825796886582653,0.38711802981632487,0.1541059220822008,0.03056013179571664,0.6399802322708179,-0.029434220452803767,-0.023813919143437334,0.24853019775521112,-0.2699118688740631,55,35
