target,fold,leaf,depth,rule,root_feat,support_train,support_val,pos_train_pct,pos_val_pct,base_val_pct,lift_val,gap_train_val_pp,recall_val,fire_rate_val_pct,support_val_top,pos_val_top_pct,lift_val_top,fail_eod_val_pct
pump20,4,13,3,log_return_1d > +0.034 AND log_return_1d > +0.063 AND btc_ma_distance_z <= +0.045,log_return_1d,1105,1051,3.167420814479638,7.1360608943863,1.706855460535539,4.180823191758314,-3.9686400799066615,15.400410677618073,3.683583345016122,898,8.129175946547884,4.762662178786535,-2.93708995602236
pump20,4,14,3,log_return_1d > +0.034 AND log_return_1d > +0.063 AND btc_ma_distance_z > +0.045,log_return_1d,3275,751,8.946564885496183,5.59254327563249,1.706855460535539,3.276518372491709,3.354021609863693,8.624229979466119,2.6321323426328336,675,5.62962962962963,3.29824625446802,-0.0039584423289258
pump20,5,3,3,log_return_1d <= +0.034 AND atr_pct_14 <= +0.065 AND btc_return_5d_z <= +2.035,log_return_1d,43839,14000,0.4151554551883026,0.6571428571428571,1.7620082066135652,0.3729510763209393,-0.2419874019545545,14.00304414003044,37.54659801003031,5042,0.53550178500595,0.3039156020931028,-0.4961552222690409
pump20,5,4,3,log_return_1d <= +0.034 AND atr_pct_14 <= +0.065 AND btc_return_5d_z > +2.035,log_return_1d,2002,596,1.898101898101898,0.0,1.7620082066135652,0.0,1.898101898101898,0.0,1.5984123152841472,196,0.0,0.0,0.4046350464894366
pump20,5,6,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.065 AND roc_7d <= +0.921,log_return_1d,41565,16442,1.265487790208108,1.9401532660260308,1.7620082066135652,1.1011034220747733,-0.6746654758179229,48.55403348554033,44.09579746292274,8407,1.903175924824551,1.080117514595632,-0.6839486052266465
pump20,5,7,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.065 AND roc_7d > +0.921,log_return_1d,3607,1333,4.629886332131965,3.3008252063015755,1.7620082066135652,1.873331346535264,1.32906112583039,6.69710806697108,3.574972510526457,1185,3.2911392405063293,1.8678342292353045,-1.350459721675511
pump20,5,10,3,log_return_1d > +0.034 AND log_return_1d <= +0.063 AND btc_ma_distance_z <= +2.630,log_return_1d,9660,3024,2.349896480331263,2.281746031746032,1.7620082066135652,1.2949690150032616,0.0681504485852312,10.50228310502283,8.110065170166546,1872,2.6709401709401708,1.5158500175623462,-0.5156860851174169
pump20,5,13,3,log_return_1d > +0.034 AND log_return_1d > +0.063 AND log_return_1d <= +0.093,log_return_1d,3642,1099,4.805052169137836,5.095541401273886,1.7620082066135652,2.891894250065439,-0.2904892321360492,8.52359208523592,2.947407943787379,820,5.487804878048781,3.114517206815904,-0.3922507664142242
pump20,5,14,3,log_return_1d > +0.034 AND log_return_1d > +0.063 AND log_return_1d > +0.093,log_return_1d,2557,777,10.559249120062573,9.78120978120978,1.7620082066135652,5.551171523774263,0.7780393388527929,11.56773211567732,2.0838361895566817,665,11.278195488721805,6.400762179421155,-2.962989279097266
pump15,1,3,3,log_return_1d <= +0.023 AND btc_rv_30d_z <= -0.859 AND volume_spike_score <= +0.883,log_return_1d,3392,3174,0.1474056603773585,1.543793320730939,2.9372849960306957,0.5255851314452449,-1.3963876603535805,8.82882882882883,16.79809473405663,3091,1.4234875444839856,0.48462697573017854,-0.5766693700193383
pump15,1,4,3,log_return_1d <= +0.023 AND btc_rv_30d_z <= -0.859 AND volume_spike_score > +0.883,log_return_1d,367,277,1.3623978201634876,3.2490974729241873,2.9372849960306957,1.10615669821446,-1.8866996527606996,1.6216216216216217,1.4659962953162213,269,2.6022304832713754,0.8859305402056332,-0.7509241809217592
pump15,1,6,3,log_return_1d <= +0.023 AND btc_rv_30d_z > -0.859 AND atr_pct_14 <= +0.126,log_return_1d,9664,11032,1.6245860927152318,1.6316171138506161,2.9372849960306957,0.5554847813731062,-0.007031021135384466,32.432432432432435,58.38581635353268,10578,1.6638305917942902,0.5664518744496057,0.18846847036069195
pump15,1,7,3,log_return_1d <= +0.023 AND btc_rv_30d_z > -0.859 AND atr_pct_14 > +0.126,log_return_1d,327,629,10.397553516819572,11.128775834658187,2.9372849960306957,3.7887967458714678,-0.7312223178386159,12.612612612612612,3.328922995501456,551,7.6225045372050815,2.5950851032520723,-1.501786026335399
pump15,1,9,2,log_return_1d > +0.023 AND atr_pct_14 <= +0.050,log_return_1d,533,1127,1.3133208255159476,2.3957409050576755,2.9372849960306957,0.8156310702894555,-1.0824200795417278,4.864864864864865,5.964540883831702,1113,2.4258760107816713,0.8258905806075617,0.20096954643925752
pump15,1,11,3,log_return_1d > +0.023 AND atr_pct_14 > +0.050 AND return_7d <= +0.672,log_return_1d,1379,1097,4.278462654097172,4.010938924339107,2.9372849960306957,1.3655259635204942,0.26752372975806515,7.927927927927928,5.805768721884096,1067,4.029990627928772,1.372012124589444,-0.28844965059462674
pump15,1,12,3,log_return_1d > +0.023 AND atr_pct_14 > +0.050 AND return_7d > +0.672,log_return_1d,1235,1559,11.17408906882591,11.289288005131494,2.9372849960306957,3.8434431866118843,-0.11519893630558276,31.71171171171171,8.250860015877217,1531,11.16917047681254,3.8025491199887025,-1.2554242686501182
pump15,2,3,3,vol_7d <= +0.814 AND log_return_1d <= +0.033 AND atr_pct_14 <= +0.055,vol_7d,14576,5818,0.8026893523600439,0.5500171880371262,2.2910584393092184,0.24007121712834306,0.2526721643229177,6.911447084233262,28.789153347518432,4963,0.5238766874874068,0.22866142499855302,-0.15997941160778037
pump15,2,4,3,vol_7d <= +0.814 AND log_return_1d <= +0.033 AND atr_pct_14 > +0.055,vol_7d,11285,8360,2.0203810367744794,1.985645933014354,2.2910584393092184,0.8666937075655958,0.034735103760125466,35.85313174946004,41.367707457073585,7458,1.9442209707696434,0.8486125615180071,-0.20142310804788385
pump15,2,6,3,vol_7d <= +0.814 AND log_return_1d > +0.033 AND btc_return_1d <= +0.015,vol_7d,1746,855,7.101947308132875,4.3274853801169595,2.2910584393092184,1.8888585755244844,2.7744619280159157,7.991360691144708,4.230788262655253,807,4.2131350681536555,1.8389470106332015,-0.5566226792681138
