date,market,regime,fold,p_lab_up_10,p_lab_dn_05,p_lab_dn_10,exp_downside,net,outcome,pump20_hit,eod_ret,up_high_ret,down_low_ret,next_close_ret,R1,policy,sort_col,p_lab_sus3,lab_sus3,rr_sus3,p_lab_sus5,lab_sus5,rr_sus5,p_lab_sus_net,lab_sus_net,rr_sus_net,p_lab_fwd1,lab_fwd1,rr_fwd1
2025-07-13,KRW-G,bull_quiet,3,0.13352826510721247,0.21311075910807847,0.0024369440721335447,-0.034042297659439696,-0.0020518763796910076,eod,0,-0.0005518763797460746,0.01876379690943608,-0.022626931567382824,-0.006073992269519102,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.21732296408880264
2025-07-13,KRW-MOCA,bull_quiet,3,0.06164717348927875,0.08395272328500061,0.0,-0.024285320697783275,0.0485,tp,1,0.0924855491329375,0.5317919075144362,-9.547918011776346e-15,0.007054673721331506,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.19455604864482393
2025-07-13,KRW-KAVA,bull_quiet,3,0.06164717348927875,0.018518518518518517,0.0,-0.015692928384700724,-0.0315,sl,0,0.002055146429181365,0.0224353485185802,-0.04093166638123136,0.002221842420097264,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.1739766081871345
2025-07-14,KRW-AQT,bull_quiet,3,0.13352826510721247,0.21311075910807847,0.020957719020348483,-0.034042297659439696,-0.008751153592616965,eod,0,-0.007251153592617632,0.002636783124587483,-0.023071852340145638,0.04050464807436849,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.21732296408880264
2025-07-14,KRW-WAVES,bull_quiet,3,0.06164717348927875,0.08395272328500061,0.0,-0.024285320697783275,0.022084905660377407,eod,0,0.023584905660376743,0.03975741239892128,-0.012803234501348348,-0.010533245556287651,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.19455604864482393
2025-07-14,KRW-A,bull_quiet,3,0.04276836846594371,0.055190058479532164,0.0,-0.020896054023721786,0.009566126855600711,eod,0,0.011066126855599157,0.04993252361673273,-0.012550607287450721,0.01334757074212356,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.17205497624692084
2025-07-15,KRW-A,bull_quiet,3,0.06164717348927875,0.08395272328500061,0.0024369440721335447,-0.024285320697783275,-0.0315,sl,0,0.01334757074212356,0.01481580352375711,-0.03150026695141617,0.002107481559534774,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.19455604864482393
2025-07-15,KRW-WCT,bull_quiet,3,0.04276836846594371,0.08395272328500061,0.0004873294346978557,-0.024285320697783275,-0.0315,sl,0,0.024277201500770174,0.025380710659896222,-0.046126682851469925,0.010127127774184341,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.1432923114414524
2025-07-15,KRW-BSV,bull_quiet,3,0.03374756335282651,0.055190058479532164,0.0004873294346978557,-0.020896054023721786,-0.0315,sl,0,0.016000000000000014,0.019586206896551772,-0.039724137931034464,0.08878631550366545,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.13730506822612087
2025-07-16,KRW-GAS,bull_quiet,3,0.06164717348927875,0.08395272328500061,0.0004873294346978557,-0.024285320697783275,0.013435505770536262,eod,0,0.01493550577053604,0.02262955419778212,-0.010862186014935715,0.01583054626532876,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.19455604864482393
2025-07-16,KRW-KAITO,bull_quiet,3,0.09223833313025466,0.12999512670565302,0.0004873294346978557,-0.027819332246773798,0.0485,tp,0,0.07363636363636328,0.11772727272727224,-0.02181818181818218,-0.016934801016088463,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.14851364522417151
2025-07-16,KRW-BSV,bull_quiet,3,0.03374756335282651,0.055190058479532164,0.0,-0.020896054023721786,0.0485,tp,0,0.08878631550366545,0.16671191963073584,-0.009503122454520785,-0.015960099750623402,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.13730506822612087
2025-07-17,KRW-WAL,bull_quiet,3,0.09223833313025466,0.21311075910807847,0.012670565302144249,-0.034042297659439696,-0.0315,sl,0,0.005141388174805694,0.024100257069407105,-0.03598971722365196,-0.04891304347826242,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.21732296408880264
2025-07-17,KRW-SOL,bull_quiet,3,0.04276836846594371,0.018518518518518517,0.0,-0.015692928384700724,0.014605107014197984,eod,0,0.016105107014197984,0.029031574486120038,-0.020979020979020935,0.010844629822732044,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.1739766081871345
2025-07-17,KRW-MASK,bull_quiet,3,0.04276836846594371,0.055190058479532164,0.0,-0.020896054023721786,-0.0315,sl,0,-0.0020975353959102883,0.014682747771368243,-0.03093864708967009,0.05202312138728282,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,1.0,0.17205497624692084
2025-07-18,KRW-AKT,bull_quiet,3,0.13352826510721247,0.16593567251461988,0.020957719020348483,-0.030763835912933784,-0.008400212314225107,eod,0,-0.006900212314225551,0.03556263269639026,-0.021231422505308295,0.009620523784072299,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.26449805068226123
2025-07-18,KRW-A,bull_quiet,3,0.04276836846594371,0.08395272328500061,0.0,-0.024285320697783275,0.0485,tp,0,0.045758354755782715,0.0670951156812325,-0.0141388174807211,0.019911504424777293,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.1432923114414524
2025-07-18,KRW-ME,bull_quiet,3,0.04276836846594371,0.055190058479532164,0.0,-0.020896054023721786,0.0485,tp,0,0.0008598452278583135,0.051590713671538335,-0.0206362854686164,0.012027491408933999,,C1_fwd1_rr,rr_fwd1,,,,,,,,,,,0.0,0.11417755453374918
