policy,k,lam,dump_cut,n,prec_pump,hit,hit10_rate,stop_rate,loss_rate,p_loss_lt_5,p_beyond_sl,cvar95,worst,net_mean,net_median,mdd,cum,sharpe,sortino,deep_dump_rate,p_min_lt_10,p_close_lt_5,no_cvar95,no_worst,no_cum
ds_rerank,5,0.5,0.8,1829,0.08201202843083652,0.2996172772006561,0.2361946418808092,0.5330781848004374,0.7003827227993439,0.5336249316566429,0.0,-0.0515,-0.051500000000000004,-0.00906389899939882,-0.051500000000000004,-0.9812628537083272,-0.9793218786096409,-4.53543861465332,-11.37484332981831,0.2810278840896665,0.1344997266265719,0.26681246582832147,-0.15654786751496064,-0.4320610561056106,-0.9579256435389768
ds_rerank,5,1.0,none,1915,0.0825065274151436,0.29556135770234987,0.2370757180156658,0.5420365535248042,0.7044386422976502,0.5425587467362925,0.0,-0.0515,-0.051500000000000004,-0.0102026147059113,-0.051500000000000004,-0.9864571541359063,-0.9850542549868915,-5.083782068036921,-12.419874634788512,0.2929503916449086,0.14673629242819844,0.2772845953002611,-0.16372955765249264,-0.4320610561056106,-0.9746558906255882
ds_rerank,5,1.0,0.5,1722,0.078397212543554,0.30313588850174217,0.227061556329849,0.5261324041811847,0.6968641114982579,0.5267131242740999,0.0,-0.05149999999999999,-0.051500000000000004,-0.009826032068725673,-0.051500000000000004,-0.9860979283486384,-0.9846578171131596,-5.148846846175911,-12.171277922825908,0.27526132404181186,0.1295005807200929,0.2619047619047619,-0.1536400802910489,-0.4320610561056106,-0.9681856704843401
ds_rerank,5,1.0,0.667,1722,0.078397212543554,0.30313588850174217,0.227061556329849,0.5261324041811847,0.6968641114982579,0.5267131242740999,0.0,-0.05149999999999999,-0.051500000000000004,-0.009826032068725673,-0.051500000000000004,-0.9860979283486384,-0.9846578171131596,-5.148846846175911,-12.171277922825908,0.27526132404181186,0.1295005807200929,0.2619047619047619,-0.1536400802910489,-0.4320610561056106,-0.9681856704843401
ds_rerank,5,1.0,0.75,1749,0.07890222984562607,0.30017152658662094,0.22927387078330475,0.5288736420811893,0.6998284734133791,0.5294453973699257,0.0,-0.051500000000000004,-0.051500000000000004,-0.010015587815554602,-0.051500000000000004,-0.9868884251201703,-0.9855302011969455,-5.230865683328954,-12.270761323966525,0.27901658090337333,0.13264722698684964,0.26472269868496284,-0.15357151434769603,-0.4320610561056106,-0.9705098941416102
ds_rerank,5,1.0,0.8,1829,0.07982504100601422,0.29797703663203934,0.23236741388737014,0.5330781848004374,0.7020229633679607,0.5336249316566429,0.0,-0.0515,-0.051500000000000004,-0.0095834345798086,-0.051500000000000004,-0.9844551599752087,-0.9828448748799491,-4.820900108009759,-11.96905659471631,0.28321487151448876,0.13559322033898305,0.2689994532531438,-0.15657310203221722,-0.4320610561056106,-0.9668004280371005
ds_rerank,5,1.5,none,1915,0.08093994778067885,0.29556135770234987,0.23655352480417755,0.5399477806788512,0.7044386422976502,0.5404699738903395,0.0,-0.05149999999999999,-0.051500000000000004,-0.01036386148977134,-0.051500000000000004,-0.9872405212590176,-0.9859187708642164,-5.190414431041477,-12.45884001552539,0.2919060052219321,0.14673629242819844,0.2762402088772846,-0.16372955765249264,-0.4320610561056106,-0.976526539317839
ds_rerank,5,1.5,0.5,1722,0.078397212543554,0.3037166085946574,0.22764227642276422,0.524390243902439,0.6962833914053427,0.5249709639953543,0.0,-0.05149999999999999,-0.051500000000000004,-0.009712675222480045,-0.051500000000000004,-0.9855232481490066,-0.9840236059721653,-5.107188063514943,-11.935192861449444,0.27409988385598144,0.1295005807200929,0.2607433217189315,-0.1536400802910489,-0.4320610561056106,-0.9672842147131943
ds_rerank,5,1.5,0.667,1722,0.078397212543554,0.3037166085946574,0.22764227642276422,0.524390243902439,0.6962833914053427,0.5249709639953543,0.0,-0.05149999999999999,-0.051500000000000004,-0.009712675222480045,-0.051500000000000004,-0.9855232481490066,-0.9840236059721653,-5.107188063514943,-11.935192861449444,0.27409988385598144,0.1295005807200929,0.2607433217189315,-0.1536400802910489,-0.4320610561056106,-0.9672842147131943
ds_rerank,5,1.5,0.75,1749,0.07775871926815323,0.30017152658662094,0.22927387078330475,0.52715837621498,0.6998284734133791,0.5277301315037164,0.0,-0.051500000000000004,-0.051500000000000004,-0.010167433131416789,-0.051500000000000004,-0.9875435760893678,-0.986253219049248,-5.325301599586201,-12.298144377166729,0.27787307032590053,0.13264722698684964,0.26357918810749,-0.153571514347696,-0.4320610561056106,-0.9723310722255541
ds_rerank,5,1.5,0.8,1829,0.07873154729360306,0.29797703663203934,0.23236741388737014,0.5314379442318207,0.7020229633679607,0.5319846910880263,0.0,-0.05149999999999999,-0.051500000000000004,-0.009728638219744614,-0.051500000000000004,-0.9852318948145861,-0.9837020714373511,-4.909431861550627,-11.997471503091772,0.28212137780207763,0.13559322033898305,0.26790595954073265,-0.15657310203221722,-0.4320610561056106,-0.9688506862879692
ds_rerank,5,2.0,none,1915,0.0814621409921671,0.29556135770234987,0.23655352480417755,0.5394255874673629,0.7044386422976502,0.5399477806788512,0.0,-0.0515,-0.051500000000000004,-0.010266162848432583,-0.051500000000000004,-0.9867896448141863,-0.9854211882700934,-5.112094611489131,-12.360756654447247,0.2924281984334204,0.14673629242819844,0.27676240208877284,-0.16373896582865735,-0.4320610561056106,-0.9762838803115901
