date,market,regime,fold,p_lab_up_10,p_lab_dn_05,R1,net,outcome,pump20_hit,up_high_ret,down_low_ret,variant
2026-05-09,KRW-ADA,bear_quiet,5,0.037391784859090074,0.02394547798857985,1.5615384615384615,-0.011425558312655069,eod,0,0.019851116625307474,-0.014888337468985102,LIQ
2026-05-09,KRW-AVAX,bear_quiet,5,0.037391784859090074,0.02394547798857985,1.5615384615384615,0.0032912388774811187,eod,0,0.021902806297056765,-0.00958247775496246,LIQ
2026-05-10,KRW-WET,bear_quiet,5,0.07082335605083809,0.06502118253822067,1.0892351274787533,-0.0315,sl,0,0.020833333333326376,-0.03472222222222887,LIQ
2026-05-10,KRW-ZORA,bear_quiet,5,0.02366918401178854,0.02394547798857985,0.9884615384615384,0.0485,tp,0,0.0653266331657758,-5.0182080713057076e-14,LIQ
2026-05-10,KRW-HOLO,bear_quiet,5,0.26984711733284217,0.27712285872167985,0.9737454303755402,-0.0315,sl,0,0.0169491525423644,-0.042372881355940306,LIQ
2026-05-11,KRW-AUCTION,bear_quiet,5,0.037391784859090074,0.02394547798857985,1.5615384615384615,-0.025417259211376886,eod,0,0.006464124111182912,-0.02650290885585016,LIQ
2026-05-11,KRW-GAS,bear_quiet,5,0.037391784859090074,0.02394547798857985,1.5615384615384615,-0.00534911470361815,eod,0,0.007698229407236079,-0.025019245573518423,LIQ
2026-05-11,KRW-VET,bear_quiet,5,0.09606705351386202,0.06502118253822067,1.4774731827953451,-0.0315,sl,0,0.008620689655085334,-0.03448275862077288,LIQ
2026-05-12,KRW-META,bear_quiet,5,0.037391784859090074,0.02394547798857985,1.5615384615384615,-0.014833333333333308,eod,0,0.006666666666599541,-0.026666666666731564,LIQ
2026-05-12,KRW-GMT,bear_quiet,5,0.26984711733284217,0.27712285872167985,0.9737454303755402,-0.0315,sl,0,0.030612244897906482,-0.05102040816331366,LIQ
2026-05-12,KRW-AXS,bear_quiet,5,0.051487519572625956,0.06502118253822067,0.7918576310475532,-0.0315,sl,0,0.005243088655862316,-0.0581506196377507,LIQ
