krw_market,binance_market,mappable,binance_db_has,n_rows,n_rows_with_binance,coverage
KRW-MOVE,BINANCE-MOVEUSDT,True,True,585,585,1.0
KRW-MTL,BINANCE-MTLUSDT,True,True,1270,1177,0.926771653543307
KRW-MVL,BINANCE-MVLUSDT,True,False,1270,0,0.0
KRW-NEAR,BINANCE-NEARUSDT,True,True,1270,1177,0.926771653543307
KRW-NEO,BINANCE-NEOUSDT,True,True,1270,1177,0.926771653543307
KRW-NEWT,BINANCE-NEWTUSDT,True,True,389,389,1.0
KRW-NXPC,BINANCE-NXPCUSDT,True,True,429,429,1.0
KRW-ONDO,BINANCE-ONDOUSDT,True,True,764,469,0.6138743455497382
KRW-ONG,BINANCE-ONGUSDT,True,True,1270,1177,0.926771653543307
KRW-ONT,BINANCE-ONTUSDT,True,True,1270,1177,0.926771653543307
KRW-OP,BINANCE-OPUSDT,True,True,355,355,1.0
KRW-OPEN,BINANCE-OPENUSDT,True,True,311,311,1.0
KRW-ORBS,BINANCE-ORBSUSDT,True,False,1270,0,0.0
KRW-ORCA,BINANCE-ORCAUSDT,True,True,484,484,1.0
KRW-ORDER,BINANCE-ORDERUSDT,True,False,267,0,0.0
KRW-PENDLE,BINANCE-PENDLEUSDT,True,True,711,711,1.0
KRW-PENGU,BINANCE-PENGUUSDT,True,True,435,435,1.0
KRW-PEPE,BINANCE-PEPEUSDT,True,True,611,611,1.0
KRW-PIEVERSE,BINANCE-PIEVERSEUSDT,True,False,89,0,0.0
KRW-PLUME,BINANCE-PLUMEUSDT,True,True,234,234,1.0
KRW-POKT,BINANCE-POKTUSDT,True,False,414,0,0.0
KRW-POL,BINANCE-POLUSDT,True,True,1270,679,0.5346456692913386
KRW-POLYX,BINANCE-POLYXUSDT,True,True,1270,1177,0.926771653543307
KRW-POWR,BINANCE-POWRUSDT,True,True,1270,1177,0.926771653543307
KRW-PRL,BINANCE-PRLUSDT,True,False,82,0,0.0
KRW-PROS,BINANCE-PROSUSDT,True,False,71,0,0.0
KRW-PROVE,BINANCE-PROVEUSDT,True,True,346,346,1.0
KRW-PUMP,BINANCE-PUMPUSDT,True,True,310,310,1.0
KRW-PUNDIX,BINANCE-PUNDIXUSDT,True,True,1270,1177,0.926771653543307
KRW-PYTH,BINANCE-PYTHUSDT,True,True,872,872,1.0
KRW-QKC,BINANCE-QKCUSDT,True,True,1270,1177,0.926771653543307
KRW-QTUM,BINANCE-QTUMUSDT,True,True,1270,1177,0.926771653543307
KRW-RAY,BINANCE-RAYUSDT,True,True,394,394,1.0
KRW-RE,BINANCE-REUSDT,True,True,29,29,1.0
KRW-RED,BINANCE-REDUSDT,True,True,316,316,1.0
KRW-RENDER,BINANCE-RENDERUSDT,True,True,590,590,1.0
KRW-RVN,BINANCE-RVNUSDT,True,True,408,408,1.0
KRW-SAFE,BINANCE-SAFEUSDT,True,False,632,0,0.0
KRW-SAHARA,BINANCE-SAHARAUSDT,True,True,387,387,1.0
KRW-SAND,BINANCE-SANDUSDT,True,True,1270,1177,0.926771653543307
KRW-SC,BINANCE-SCUSDT,True,True,1270,1177,0.926771653543307
KRW-SEI,BINANCE-SEIUSDT,True,True,1067,1067,1.0
KRW-SENT,BINANCE-SENTUSDT,True,True,170,170,1.0
KRW-SHIB,BINANCE-SHIBUSDT,True,True,1270,1177,0.926771653543307
KRW-SIGN,BINANCE-SIGNUSDT,True,True,445,445,1.0
KRW-SKR,BINANCE-SKRUSDT,True,False,144,0,0.0
KRW-SKY,BINANCE-SKYUSDT,True,True,109,109,1.0
KRW-SLX,BINANCE-SLXUSDT,True,False,47,0,0.0
KRW-SNT,BINANCE-SNTUSDT,True,False,1270,0,0.0
KRW-SOL,BINANCE-SOLUSDT,True,True,1270,1177,0.926771653543307
KRW-SOMI,BINANCE-SOMIUSDT,True,True,290,290,1.0
KRW-SONIC,BINANCE-SONICUSDT,True,False,556,0,0.0
KRW-SOON,BINANCE-SOONUSDT,True,False,92,0,0.0
KRW-SOPH,BINANCE-SOPHUSDT,True,True,416,416,1.0
KRW-SPK,BINANCE-SPKUSDT,True,True,86,86,1.0
KRW-SPX,BINANCE-SPXUSDT,True,False,32,0,0.0
KRW-STEEM,BINANCE-STEEMUSDT,True,True,1270,1177,0.926771653543307
KRW-STORJ,BINANCE-STORJUSDT,True,True,1270,1177,0.926771653543307
KRW-STRAX,BINANCE-STRAXUSDT,True,True,1270,1170,0.9212598425196851
KRW-STX,BINANCE-STXUSDT,True,True,1270,1177,0.926771653543307
