date,coin,crowd_q,btc_regime,net_eod_d1,has_path,net_tp5_sl3,oc_tp5_sl3,net_eod15,oc_eod15,net_tp5_sl5,oc_tp5_sl5,net_tp10_sl3,oc_tp10_sl3,net_noSL_eod,oc_noSL_eod
2023-12-26,KRW-AXS,high,bull_volatile,-0.03155865102639293,False,,,,,,,,,,
2024-01-17,KRW-AXS,low,bull_volatile,-0.026871828521434826,False,,,,,,,,,,
2023-10-09,KRW-BAT,mid,bull_quiet,-0.06524501992031878,False,,,,,,,,,,
2023-11-30,KRW-BAT,mid,bull_volatile,-0.03072077922077926,False,,,,,,,,,,
2024-01-01,KRW-BAT,low,bull_volatile,0.007145533141210305,False,,,,,,,,,,
2024-01-12,KRW-BAT,low,bull_volatile,-0.05967174515235458,False,,,,,,,,,,
2023-09-28,KRW-BCH,high,bear_quiet,0.0317587144227694,False,,,,,,,,,,
2023-10-17,KRW-BCH,low,bull_quiet,-0.01808163265306123,False,,,,,,,,,,
2023-12-31,KRW-BCH,mid,bull_volatile,-0.03860830126443098,False,,,,,,,,,,
2024-02-12,KRW-BCH,mid,bull_quiet,0.0027609853528627886,False,,,,,,,,,,
2023-10-19,KRW-BLUR,high,bull_quiet,-0.13385294117647056,False,,,,,,,,,,
2023-10-21,KRW-BLUR,mid,bull_quiet,-0.024576923076923107,False,,,,,,,,,,
2023-10-25,KRW-BLUR,mid,bull_quiet,0.13139036544850496,False,,,,,,,,,,
2023-10-26,KRW-BLUR,high,bull_quiet,-0.051500000000000046,False,,,,,,,,,,
2023-10-30,KRW-BLUR,low,bull_quiet,0.019148967551622376,False,,,,,,,,,,
2023-11-04,KRW-BLUR,mid,bull_volatile,0.03534210526315778,False,,,,,,,,,,
2023-11-07,KRW-BLUR,high,bull_volatile,0.020632796780684137,False,,,,,,,,,,
2023-11-12,KRW-BLUR,mid,bull_volatile,-0.024267075306479813,False,,,,,,,,,,
2023-11-19,KRW-BLUR,low,bull_volatile,-0.018485138004246282,False,,,,,,,,,,
2023-11-22,KRW-BLUR,mid,bull_volatile,0.4120021097046414,False,,,,,,,,,,
2023-11-23,KRW-BLUR,high,bull_volatile,0.014917910447761086,False,,,,,,,,,,
2023-11-25,KRW-BLUR,high,bull_volatile,-0.0751478711162255,False,,,,,,,,,,
2023-12-03,KRW-BLUR,low,bull_volatile,-0.02047018970189701,False,,,,,,,,,,
2023-12-11,KRW-BLUR,low,bull_volatile,-0.08977586206896554,False,,,,,,,,,,
2023-12-20,KRW-BLUR,high,bull_volatile,0.004149717514124353,False,,,,,,,,,,
2024-01-04,KRW-BLUR,mid,bull_volatile,-0.01124930362116988,False,,,,,,,,,,
2024-01-12,KRW-BLUR,mid,bull_volatile,0.060676165803108806,False,,,,,,,,,,
2024-01-13,KRW-BLUR,high,bull_volatile,0.010710012210012169,False,,,,,,,,,,
