head,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
h6_hit_5_24h,daily+15m,3,1.0,20200,4506,202,75,22.306930693069308,37.12871287128713,1.6644474034620504
h6_hit_5_24h,daily+15m,3,2.0,20200,4506,404,160,22.306930693069308,39.603960396039604,1.775410563692854
h6_hit_5_24h,daily+1h+15m,1,0.5,17296,2926,86,40,16.917206290471785,46.51162790697674,2.7493681349250507
h6_hit_5_24h,daily+1h+15m,1,1.0,17296,2926,172,75,16.917206290471785,43.604651162790695,2.577532626492235
h6_hit_5_24h,daily+1h+15m,1,2.0,17296,2926,345,136,16.917206290471785,39.42028985507247,2.330189109136478
h6_hit_5_24h,daily+1h+15m,2,0.5,19527,4937,97,48,25.282941568085214,49.48453608247423,1.957230172336387
h6_hit_5_24h,daily+1h+15m,2,1.0,19527,4937,195,88,25.282941568085214,45.12820512820513,1.7849270033187392
h6_hit_5_24h,daily+1h+15m,2,2.0,19527,4937,390,168,25.282941568085214,43.07692307692308,1.703793957713342
h6_hit_5_24h,daily+1h+15m,3,0.5,20200,4506,101,37,22.306930693069308,36.633663366336634,1.64225477141589
h6_hit_5_24h,daily+1h+15m,3,1.0,20200,4506,202,84,22.306930693069308,41.584158415841586,1.8641810918774966
h6_hit_5_24h,daily+1h+15m,3,2.0,20200,4506,404,163,22.306930693069308,40.34653465346535,1.808699511762095
h6_hit_5_24h,daily+all,1,0.5,17296,2926,86,36,16.917206290471785,41.86046511627907,2.474431321432546
h6_hit_5_24h,daily+all,1,1.0,17296,2926,172,75,16.917206290471785,43.604651162790695,2.577532626492235
h6_hit_5_24h,daily+all,1,2.0,17296,2926,345,146,16.917206290471785,42.31884057971014,2.501526543631807
h6_hit_5_24h,daily+all,2,0.5,19527,4937,97,49,25.282941568085214,50.51546391752577,1.9980058009267283
h6_hit_5_24h,daily+all,2,1.0,19527,4937,195,99,25.282941568085214,50.76923076923077,2.0080428787335816
h6_hit_5_24h,daily+all,2,2.0,19527,4937,390,185,25.282941568085214,47.43589743589743,1.876201679624811
h6_hit_5_24h,daily+all,3,0.5,20200,4506,101,39,22.306930693069308,38.613861386138616,1.7310252996005326
h6_hit_5_24h,daily+all,3,1.0,20200,4506,202,77,22.306930693069308,38.11881188118812,1.708832667554372
h6_hit_5_24h,daily+all,3,2.0,20200,4506,404,156,22.306930693069308,38.613861386138616,1.7310252996005326
