scope,cohort,primary,comparator,metric,n_paired_dates,delta_primary_minus_comparator,ci95_lo,ci95_hi,p_delta_gt_zero,p_preferred_direction,preferred_direction,bootstrap_draws,seed,stream_seed
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,path_net_mean,250,0.0006618144166011269,-0.0017196215849083546,0.003058720352994605,0.7054,0.7054,higher,5000,42,8434280092962667451
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,path_sl_first,250,-0.04,-0.07999999999999999,-0.001333333333333326,0.024,0.9758,lower,5000,42,15738613671936061863
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,path_safe_up10,250,-0.026666666666666665,-0.05203333333333332,-1.0824674490099315e-18,0.0238,0.0238,higher,5000,42,7254474110542418568
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,path_up10,250,-0.04,-0.068,-0.013333333333333332,0.0018,0.0018,higher,5000,42,14719375510065975808
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,R1_frozen_pattern,path_dn5,250,-0.06933333333333334,-0.10666666666666666,-0.033333333333333326,0.0002,0.9998,lower,5000,42,4480179089265943411
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,safe_up10_rate,250,0.03066666666666667,0.0026666666666666666,0.05866666666666667,0.9832,0.9832,higher,5000,42,11827552324907164733
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,up10_rate,250,0.036000000000000004,0.007999999999999998,0.06533333333333333,0.993,0.993,higher,5000,42,13297763197676489843
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,dn5_rate,250,0.024,-0.011999999999999997,0.05866666666666667,0.9074,0.0906,lower,5000,42,6453739018794751042
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,path_net_mean,250,0.0015222471385879768,-0.0009339199084860719,0.0040029027391363554,0.8896,0.8896,higher,5000,42,17417174587351829691
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,path_sl_first,250,8.881784197001253e-19,-0.03866666666666666,0.03866666666666667,0.4914,0.5064,lower,5000,42,15619740980624178822
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,path_safe_up10,250,0.02533333333333333,8.881784197001253e-19,0.052,0.9762,0.9762,higher,5000,42,3409581317690314444
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,path_up10,250,0.02533333333333333,-1.7763568394002505e-18,0.05199999999999999,0.9696,0.9696,higher,5000,42,14351691021056143359
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,monkey_seed42,path_dn5,250,0.0026666666666666713,-0.030666666666666665,0.036,0.5724,0.4236,lower,5000,42,1381944194100767709
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,safe_up10_rate,170,0.02156862745098039,-0.01568627450980392,0.05691176470588165,0.87,0.87,higher,5000,42,14266221451788755479
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,up10_rate,170,-0.05490196078431373,-0.09411764705882353,-0.01372549019607843,0.0024,0.0024,higher,5000,42,12456025458561733839
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,dn5_rate,170,-0.09411764705882353,-0.13725490196078433,-0.052941176470588235,0.0,1.0,lower,5000,42,15797598286767190585
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,path_net_mean,170,0.002670055662977177,-0.0008007997957400232,0.00613908079197438,0.9352,0.9352,higher,5000,42,8210492275897952695
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,path_sl_first,170,-0.045098039215686274,-0.09019607843137256,-0.0019607843137254893,0.022,0.9776,lower,5000,42,7403598500051122687
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,path_safe_up10,170,-2.6122894697062506e-18,-0.03725490196078431,0.037254901960784306,0.4916,0.4916,higher,5000,42,17977443007075481946
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,path_up10,170,-0.07254901960784313,-0.11568627450980391,-0.03137254901960784,0.0002,0.0002,higher,5000,42,14796861877674652846
locked_holdout,common_0915_complete_dates,safeup_head,up10_control,path_dn5,170,-0.09215686274509803,-0.13529411764705881,-0.050980392156862744,0.0,1.0,lower,5000,42,13091584874410920291
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,safe_up10_rate,170,0.06274509803921569,0.021568627450980392,0.10392156862745097,0.999,0.999,higher,5000,42,263105712267773678
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,up10_rate,170,0.10196078431372546,0.052941176470588235,0.15098039215686274,1.0,1.0,higher,5000,42,7530714960648858652
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,dn5_rate,170,0.23529411764705882,0.19215686274509802,0.2784313725490196,1.0,0.0,lower,5000,42,5779956437088496333
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,path_net_mean,170,0.002375621503967807,-0.0011987163378645437,0.005879232708815469,0.913,0.913,higher,5000,42,1031115395389966046
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,path_sl_first,170,0.10392156862745097,0.05098039215686275,0.15490196078431373,1.0,0.0,lower,5000,42,6753135308798838861
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,path_safe_up10,170,0.04901960784313725,0.009754901960784322,0.09019607843137255,0.9914,0.9914,higher,5000,42,4543916822828441418
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,path_up10,170,0.0764705882352941,0.029411764705882353,0.12549019607843137,0.9996,0.9996,higher,5000,42,8795851706490319117
locked_holdout,common_0915_complete_dates,safeup_head,R1_repaired,path_dn5,170,0.23137254901960783,0.1901960784313725,0.27254901960784317,1.0,0.0,lower,5000,42,18319306096901347859
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,safe_up10_rate,170,0.02745098039215686,-0.013725490196078433,0.07058823529411766,0.9112,0.9112,higher,5000,42,10855097763324761483
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,up10_rate,170,0.0980392156862745,0.047058823529411764,0.14705882352941177,1.0,1.0,higher,5000,42,8132188437063661950
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,dn5_rate,170,0.27647058823529413,0.23137254901960783,0.3215686274509804,1.0,0.0,lower,5000,42,15496574388700808414
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,path_net_mean,170,0.0016301871931870408,-0.0020744439497957586,0.005441567373995003,0.8082,0.8082,higher,5000,42,7126738498090188371
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,path_sl_first,170,0.07450980392156863,0.0196078431372549,0.12941176470588237,0.9968,0.0032,lower,5000,42,13765724391964824659
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,path_safe_up10,170,0.029411764705882353,-0.013725490196078428,0.07058823529411765,0.9052,0.9052,higher,5000,42,45272188667262321
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,path_up10,170,0.0784313725490196,0.029411764705882353,0.12941176470588237,0.999,0.999,higher,5000,42,10662749100607740410
locked_holdout,common_0915_complete_dates,safeup_head,R1_frozen_pattern,path_dn5,170,0.24901960784313723,0.20392156862745098,0.29607843137254897,1.0,0.0,lower,5000,42,15077335523243390363
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,safe_up10_rate,170,0.10588235294117647,0.06470588235294118,0.14705882352941177,1.0,1.0,higher,5000,42,8704733056370507603
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,up10_rate,170,0.1725490196078431,0.12745098039215685,0.21960784313725487,1.0,1.0,higher,5000,42,4123450260231578605
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,dn5_rate,170,0.3431372549019608,0.28823529411764703,0.39803921568627454,1.0,0.0,lower,5000,42,15754333434535524432
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,path_net_mean,170,0.0035914556477809768,-0.0005754225842927676,0.007851949930714502,0.9548,0.9548,higher,5000,42,3798362575099619223
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,path_sl_first,170,0.16666666666666669,0.10196078431372549,0.22941176470588234,1.0,0.0,lower,5000,42,2106924273961826828
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,path_safe_up10,170,0.09607843137254901,0.058823529411764705,0.13529411764705881,1.0,1.0,higher,5000,42,6562754852878170655
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,path_up10,170,0.1568627450980392,0.11568627450980391,0.2,1.0,1.0,higher,5000,42,3613905057874178280
locked_holdout,common_0915_complete_dates,safeup_head,monkey_seed42,path_dn5,170,0.3235294117647059,0.2647058823529412,0.38235294117647056,1.0,0.0,lower,5000,42,13610990109262747912
locked_holdout,common_0915_complete_dates,safeup_head,safeup_pareto_rank,safe_up10_rate,170,0.07254901960784314,0.029411764705882353,0.11568627450980391,0.9996,0.9996,higher,5000,42,3510141437754184789
