regime_subset,T,C,DD,H,n_total,n_hit,n_success,base_rate_pct,hit_rate_pct,avg_no_hit_eod_pct,worst5_no_hit_eod_pct,avg_post_hit_fail_eod_pct,avg_hit_time_h,avg_pre_hit_dd_pct_when_success
all,15,0,2,8,163546,2693,1761,1.076761278172502,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,6.025411098670522,5.147075525269733,-0.5416909137353993
bull_quiet_bull_volatile,15,0,2,8,90861,1397,896,0.986121658357271,1.537513344559272,-0.1777385233648757,-7.018210479260284,6.873442793917454,5.25,-0.5519834081124947
all,15,0,2,12,163546,3556,2285,1.397160431927409,2.17431181441307,-0.3093454741381022,-6.736219528806514,7.115548076550448,6.718599562363239,-0.6115283342306496
bull_quiet_bull_volatile,15,0,2,12,90861,1813,1129,1.242557312818481,1.9953555430822907,-0.2350418360750538,-7.031091117083093,7.967570722943865,6.643046944198406,-0.6253299233828
all,15,0,2,24,163546,5425,3303,2.019615276435988,3.317109559390018,-0.47566557821188005,-6.770564557745895,9.850915094063621,10.464426279140175,-0.689038648495459
bull_quiet_bull_volatile,15,0,2,24,90861,2875,1686,1.8555816026678114,3.164173847965574,-0.4154275465930694,-7.079583617772989,10.930532669168812,10.730723606168446,-0.7223573477058901
all,15,0,3,4,163546,1857,1379,0.8431878492901079,1.1354603597764543,-0.18379322614242305,-6.718346253229979,1.20017652943138,4.0,-0.6236082870682406
bull_quiet_bull_volatile,15,0,3,4,90861,938,676,0.7439935725999053,1.032346111092768,-0.10906871027622711,-7.010086936310193,1.847332148376778,4.0,-0.6176265936100337
all,15,0,3,8,163546,2693,1998,1.2216746358822594,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,3.7433646207180837,5.2392392392392395,-0.7644628006216683
bull_quiet_bull_volatile,15,0,3,8,90861,1397,1017,1.119292105523822,1.537513344559272,-0.1777385233648757,-7.018210479260284,4.703627413734351,5.341199606686333,-0.7712036543587052
all,15,0,3,12,163546,3556,2628,1.6068873589081971,2.17431181441307,-0.3093454741381022,-6.736219528806514,4.993370259998056,6.859969558599696,-0.8482516194007325
bull_quiet_bull_volatile,15,0,3,12,90861,1813,1303,1.4340586170083973,1.9953555430822907,-0.2350418360750538,-7.031091117083093,6.0282886980364925,6.802762854950115,-0.86382290866298
all,15,0,3,24,163546,5425,3935,2.4060508969953407,3.317109559390018,-0.47566557821188005,-6.770564557745895,8.414305679580234,10.845235069885641,-0.9692609267986698
bull_quiet_bull_volatile,15,0,3,24,90861,2875,2040,2.2451877042955726,3.164173847965574,-0.4154275465930694,-7.079583617772989,9.535830760659676,11.211764705882352,-1.0168888497326667
all,15,0,5,4,163546,1857,1490,0.911058662394678,1.1354603597764543,-0.18379322614242305,-6.718346253229979,-2.3574819824510707,4.0,-0.8522368647199552
bull_quiet_bull_volatile,15,0,5,4,90861,938,747,0.8221349093670551,1.032346111092768,-0.10906871027622711,-7.010086936310193,-2.9706891499958052,4.0,-0.91027095046314
all,15,0,5,8,163546,2693,2215,1.3543590182578602,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,-1.1031498990604383,5.309255079006772,-1.0575037751505627
bull_quiet_bull_volatile,15,0,5,8,90861,1397,1154,1.2700718680181817,1.537513344559272,-0.1777385233648757,-7.018210479260284,-2.010741193848003,5.410745233968804,-1.1273896832859847
all,15,0,5,12,163546,3556,2941,1.7982708228877504,2.17431181441307,-0.3093454741381022,-6.736219528806514,0.5248233082503212,6.960897653859232,-1.160441599541147
bull_quiet_bull_volatile,15,0,5,12,90861,1813,1497,1.6475715653580743,1.9953555430822907,-0.2350418360750538,-7.031091117083093,0.2078812589598603,6.9205076820307285,-1.2473236138232375
all,15,0,5,24,163546,5425,4513,2.759468284152471,3.317109559390018,-0.47566557821188005,-6.770564557745895,4.805259398850956,11.122534899180145,-1.3309135009767956
bull_quiet_bull_volatile,15,0,5,24,90861,2875,2398,2.6391961347552857,3.164173847965574,-0.4154275465930694,-7.079583617772989,4.954635265586949,11.47789824854045,-1.4401975540064471
all,15,2,2,4,163546,1857,1143,0.6988859403470583,1.1354603597764543,-0.18379322614242305,-6.718346253229979,3.0317943260151865,4.0,-0.4534548755359252
bull_quiet_bull_volatile,15,2,2,4,90861,938,579,0.6372370984250668,1.032346111092768,-0.10906871027622711,-7.010086936310193,3.889898793851666,4.0,-0.44646522205616984
all,15,2,2,8,163546,2693,1626,0.9942156946669438,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,5.3583636370809336,5.1881918819188195,-0.5489493963736921
bull_quiet_bull_volatile,15,2,2,8,90861,1397,848,0.9332937123738458,1.537513344559272,-0.1777385233648757,-7.018210479260284,6.34386906550099,5.268867924528302,-0.5566631355377816
all,15,2,2,12,163546,3556,2121,1.2968828341873235,2.17431181441307,-0.3093454741381022,-6.736219528806514,6.394437147059816,6.777934936350778,-0.6174243094590183
bull_quiet_bull_volatile,15,2,2,12,90861,1813,1075,1.1831258735871275,1.9953555430822907,-0.2350418360750538,-7.031091117083093,7.442388907151089,6.6902325581395345,-0.6299106573584417
all,15,2,2,24,163546,5425,3117,1.9058858058283297,3.317109559390018,-0.47566557821188005,-6.770564557745895,9.123949487594032,10.6576836701957,-0.6953438782419022
bull_quiet_bull_volatile,15,2,2,24,90861,2875,1626,1.7895466701885299,3.164173847965574,-0.4154275465930694,-7.079583617772989,10.444289132168509,10.873308733087331,-0.7271335997805229
all,15,2,3,4,163546,1857,1254,0.7667567534516283,1.1354603597764543,-0.18379322614242305,-6.718346253229979,1.0965841790419604,4.0,-0.6261329233253077
bull_quiet_bull_volatile,15,2,3,4,90861,938,637,0.7010708664883724,1.032346111092768,-0.10906871027622711,-7.010086936310193,1.7030429092009025,4.0,-0.6222998492341046
all,15,2,3,8,163546,2693,1844,1.1275115258092525,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,3.206682476343376,5.279826464208243,-0.769290834200863
bull_quiet_bull_volatile,15,2,3,8,90861,1397,964,1.0609612485004567,1.537513344559272,-0.1777385233648757,-7.018210479260284,4.231233233825125,5.356846473029045,-0.7774639676890097
all,15,2,3,12,163546,3556,2440,1.4919349907671238,2.17431181441307,-0.3093454741381022,-6.736219528806514,4.2919973825564925,6.921311475409836,-0.8536021547531929
bull_quiet_bull_volatile,15,2,3,12,90861,1813,1243,1.3680236845291158,1.9953555430822907,-0.2350418360750538,-7.031091117083093,5.480549461298644,6.847948511665326,-0.87047636700658
all,15,2,3,24,163546,5425,3713,2.270309270786201,3.317109559390018,-0.47566557821188005,-6.770564557745895,7.435846380540294,11.032588203608942,-0.9738250021318772
bull_quiet_bull_volatile,15,2,3,24,90861,2875,1968,2.1659457853204342,3.164173847965574,-0.4154275465930694,-7.079583617772989,8.84750885822669,11.33739837398374,-1.0200395979783112
all,15,2,5,4,163546,1857,1349,0.8248443862888729,1.1354603597764543,-0.18379322614242305,-6.718346253229979,-1.498331079981496,4.0,-0.842369683015104
bull_quiet_bull_volatile,15,2,5,4,90861,938,699,0.76930696338363,1.032346111092768,-0.10906871027622711,-7.010086936310193,-2.214168792897836,4.0,-0.8942845645072276
all,15,2,5,8,163546,2693,2038,1.246132586550573,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,-0.5862237867258652,5.352306182531894,-1.0533328767310945
bull_quiet_bull_volatile,15,2,5,8,90861,1397,1089,1.19853402449896,1.537513344559272,-0.1777385233648757,-7.018210479260284,-1.3984948433798388,5.432506887052342,-1.1209610588228625
all,15,2,5,12,163546,3556,2727,1.667420786812273,2.17431181441307,-0.3093454741381022,-6.736219528806514,0.6082474357241016,7.031903190319032,-1.1623459585063576
bull_quiet_bull_volatile,15,2,5,12,90861,1813,1424,1.5672290641749484,1.9953555430822907,-0.2350418360750538,-7.031091117083093,0.333473907734733,6.977528089887641,-1.246122236634185
all,15,2,5,24,163546,5425,4259,2.60416029740868,3.317109559390018,-0.47566557821188005,-6.770564557745895,3.9473281739783914,11.322845738436254,-1.3353381201141394
bull_quiet_bull_volatile,15,2,5,24,90861,2875,2313,2.5456466470763033,3.164173847965574,-0.4154275465930694,-7.079583617772989,4.341953356373014,11.626459143968871,-1.4428759838938658
all,15,3,2,4,163546,1857,1069,0.6536387316106783,1.1354603597764543,-0.18379322614242305,-6.718346253229979,2.989380823049439,4.0,-0.45521895999813433
bull_quiet_bull_volatile,15,3,2,4,90861,938,547,0.6020184677694501,1.032346111092768,-0.10906871027622711,-7.010086936310193,3.7816425545892214,4.0,-0.45195454546462804
all,15,3,2,8,163546,2693,1535,0.9385738568965306,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,5.138649608524248,5.214332247557003,-0.5525409841611815
bull_quiet_bull_volatile,15,3,2,8,90861,1397,812,0.8936727528862768,1.537513344559272,-0.1777385233648757,-7.018210479260284,6.113100207675939,5.305418719211823,-0.5629140964907058
all,15,3,2,12,163546,3556,2012,1.2302349186161692,2.17431181441307,-0.3093454741381022,-6.736219528806514,6.124329075861243,6.823061630218688,-0.6207486250244163
bull_quiet_bull_volatile,15,3,2,12,90861,1813,1037,1.1413037496835827,1.9953555430822907,-0.2350418360750538,-7.031091117083093,7.204875062369709,6.757955641272902,-0.6360947281986781
all,15,3,2,24,163546,5425,2994,1.8306776075232658,3.317109559390018,-0.47566557821188005,-6.770564557745895,8.792593099741474,10.798931195724784,-0.698996076976999
bull_quiet_bull_volatile,15,3,2,24,90861,2875,1581,1.7400204708290685,3.164173847965574,-0.4154275465930694,-7.079583617772989,10.170935661935307,10.990512333965844,-0.732779361920344
all,15,3,3,4,163546,1857,1174,0.7178408521150013,1.1354603597764543,-0.18379322614242305,-6.718346253229979,1.268819439176655,4.0,-0.6297319950170513
bull_quiet_bull_volatile,15,3,3,4,90861,938,603,0.6636510714167795,1.032346111092768,-0.10906871027622711,-7.010086936310193,1.7896701499340089,4.0,-0.6312170577571262
all,15,3,3,8,163546,2693,1742,1.065143751605053,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,3.1373766133065306,5.304247990815155,-0.7739787849394715
bull_quiet_bull_volatile,15,3,3,8,90861,1397,926,1.0191391245969117,1.537513344559272,-0.1777385233648757,-7.018210479260284,4.098255854529607,5.39524838012959,-0.788352355651634
all,15,3,3,12,163546,3556,2320,1.418561138762183,2.17431181441307,-0.3093454741381022,-6.736219528806514,4.124437991072194,6.972413793103448,-0.8604821481459983
bull_quiet_bull_volatile,15,3,3,12,90861,1813,1203,1.3240003962095948,1.9953555430822907,-0.2350418360750538,-7.031091117083093,5.290472525521969,6.916043225270158,-0.8811151369390495
all,15,3,3,24,163546,5425,3577,2.187152238513935,3.317109559390018,-0.47566557821188005,-6.770564557745895,7.077723524309568,11.176963936259435,-0.9811674010809411
bull_quiet_bull_volatile,15,3,3,24,90861,2875,1920,2.1131178393370096,3.164173847965574,-0.4154275465930694,-7.079583617772989,8.531969161521632,11.45,-1.0292911453629467
all,15,3,5,4,163546,1857,1258,0.7692025485184596,1.1354603597764543,-0.18379322614242305,-6.718346253229979,-0.8825710662176687,4.0,-0.834436050037996
bull_quiet_bull_volatile,15,3,5,4,90861,938,658,0.7241830928561209,1.032346111092768,-0.10906871027622711,-7.010086936310193,-1.5175925082578643,4.0,-0.8866762694335589
all,15,3,5,8,163546,2693,1917,1.1721472857789246,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,-0.09780349215965532,5.375065206051121,-1.0460562658311368
bull_quiet_bull_volatile,15,3,5,8,90861,1397,1039,1.1435049140995586,1.537513344559272,-0.1777385233648757,-7.018210479260284,-0.8435039366148435,5.466794995187681,-1.1124726587929943
all,15,3,5,12,163546,3556,2579,1.5769263693395132,2.17431181441307,-0.3093454741381022,-6.736219528806514,0.9040172647670991,7.075610701822412,-1.1550232498308906
bull_quiet_bull_volatile,15,3,5,12,90861,1813,1369,1.5066970427356072,1.9953555430822907,-0.2350418360750538,-7.031091117083093,0.6117024525161897,7.04163623082542,-1.2380121361100984
all,15,3,5,24,163546,5425,4087,2.4989911095349324,3.317109559390018,-0.47566557821188005,-6.770564557745895,3.7688171518172733,11.47247369708833,-1.3325284659969339
bull_quiet_bull_volatile,15,3,5,24,90861,2875,2246,2.4719076391411057,3.164173847965574,-0.4154275465930694,-7.079583617772989,4.1530022569540215,11.752448797862867,-1.4395385037652673
all,15,5,2,4,163546,1857,883,0.5399092610030205,1.1354603597764543,-0.18379322614242305,-6.718346253229979,3.186039534466112,4.0,-0.44349044419805356
bull_quiet_bull_volatile,15,5,2,4,90861,938,466,0.5128713089224199,1.032346111092768,-0.10906871027622711,-7.010086936310193,3.8097880299565303,4.0,-0.4449786622248141
all,15,5,2,8,163546,2693,1286,0.7863231139862792,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,4.942186241927195,5.253499222395023,-0.5475194225851546
bull_quiet_bull_volatile,15,5,2,8,90861,1397,705,0.775910456631558,1.537513344559272,-0.1777385233648757,-7.018210479260284,5.782364125984453,5.356028368794326,-0.5554566393382782
all,15,5,2,12,163546,3556,1718,1.0504689812040648,2.17431181441307,-0.3093454741381022,-6.736219528806514,5.787621458429728,6.949941792782305,-0.6204758465036937
bull_quiet_bull_volatile,15,5,2,12,90861,1813,918,1.0103344669330077,1.9953555430822907,-0.2350418360750538,-7.031091117083093,6.777407493156752,6.89760348583878,-0.6355263613744307
all,15,5,2,24,163546,5425,2639,1.6136132953419833,3.317109559390018,-0.47566557821188005,-6.770564557745895,8.18531313715392,11.179992421371733,-0.703403516188472
bull_quiet_bull_volatile,15,5,2,24,90861,2875,1446,1.591441872750685,3.164173847965574,-0.4154275465930694,-7.079583617772989,9.586951676065228,11.355463347164592,-0.7383441855369869
all,15,5,3,4,163546,1857,969,0.5924938549398946,1.1354603597764543,-0.18379322614242305,-6.718346253229979,1.9022816147349735,4.0,-0.6156330820381951
bull_quiet_bull_volatile,15,5,3,4,90861,938,515,0.5667998371138332,1.032346111092768,-0.10906871027622711,-7.010086936310193,2.234189883130188,4.0,-0.6276441245164552
all,15,5,3,8,163546,2693,1464,0.8951609944602743,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,3.3366074891549338,5.352459016393443,-0.7739254866511001
bull_quiet_bull_volatile,15,5,3,8,90861,1397,805,0.8859686774303606,1.537513344559272,-0.1777385233648757,-7.018210479260284,4.066631517499232,5.440993788819876,-0.7839989862136042
all,15,5,3,12,163546,3556,1985,1.2137258019150574,2.17431181441307,-0.3093454741381022,-6.736219528806514,4.100576355572676,7.097229219143577,-0.8628419270163337
bull_quiet_bull_volatile,15,5,3,12,90861,1813,1064,1.1710194692992593,1.9953555430822907,-0.2350418360750538,-7.031091117083093,5.044523458664938,7.037593984962406,-0.8794088968049526
all,15,5,3,24,163546,5425,3169,1.9376811416971371,3.317109559390018,-0.47566557821188005,-6.770564557745895,6.525878042625716,11.565793625749448,-0.9918387986028421
bull_quiet_bull_volatile,15,5,3,24,90861,2875,1758,1.934823521642949,3.164173847965574,-0.4154275465930694,-7.079583617772989,7.8720585675276595,11.80887372013652,-1.0359992923207522
all,15,5,5,4,163546,1857,1035,0.6328494735426119,1.1354603597764543,-0.18379322614242305,-6.718346253229979,0.448118657840081,4.0,-0.8111200387215545
bull_quiet_bull_volatile,15,5,5,4,90861,938,559,0.6152254542653063,1.032346111092768,-0.10906871027622711,-7.010086936310193,-0.090133173379932,4.0,-0.8667641105435824
all,15,5,5,8,163546,2693,1611,0.9850439631663263,1.6466315287442066,-0.24761892844888017,-6.7270896503767315,1.0689241503923816,5.430167597765363,-1.0445751403815644
