feature,label,n,base_rate,top_decile_prec,bot_decile_prec,signal_dir,signal_decile_prec,signal_decile_n,lift,oos_prec,oos_base,oos_lift,oos_n,n_folds_used
f_qv_surge_7d,lab_pumpc20,189872,0.004271298559029241,0.01142827048662313,0.00326522013903518,high,0.01142827048662313,18988,2.6755962686018577,0.012241292276627966,0.004549882749367796,2.6904632384930993,15848,5
f_qvsurge_xs_decile,lab_pumpc20,189872,0.004271298559029241,0.011112281440910048,0.0045818411628396885,high,0.011112281440910048,18988,2.6016166482718526,0.011546215407172093,0.004455625032561769,2.591379508552042,16369,5
f_vol_surge_7d,lab_pumpc20,189872,0.004271298559029241,0.011217611122814409,0.0033705498209395408,high,0.011217611122814409,18988,2.6262765217151878,0.011565725656012934,0.004514088133909411,2.5621399744352082,16082,5
f_rsi_14,lab_pumpc20,189872,0.004271298559029241,0.011638929850431851,0.004371181799030967,high,0.011638929850431851,18988,2.724916015488528,0.013554424108985826,0.005448996483469101,2.4875083237999096,14534,5
f_rv_21d,lab_pumpc20,188848,0.004220325341014996,0.014455917394757744,0.0012708498808578236,high,0.014455917394757744,18885,3.425308768086839,0.012770439285557555,0.005147557526704608,2.4808735442599326,22787,5
f_bb_width_pctile_60,lab_pumpc20,179120,0.004002903081732917,0.010104957570343904,0.001898168825368468,high,0.010104957570343904,17912,2.524407252440725,0.010513102149694021,0.00455299487645748,2.3090520492467332,19119,5
f_atr_pct_14,lab_pumpc20,189872,0.004271298559029241,0.011954918896144934,0.0007899726142827049,high,0.011954918896144934,18988,2.7988956358185337,0.011350011989449285,0.00526284456130524,2.156630669448152,25022,5
f_pos_in_20d_range,lab_pumpc20,186544,0.004116991165623124,0.010292146877512731,0.0027874564459930314,high,0.010292146877512731,18655,2.4999195926025193,0.011044973544973545,0.005232240216322578,2.1109454245845733,15120,5
f_dist_from_60d_high,lab_pumpc20,176304,0.00397608675923405,0.00947195281039079,0.006239010833191538,high,0.00947195281039079,17631,2.3822299119588273,0.010958299624917262,0.005440805088178934,2.014095239089894,13597,5
f_range_contraction_7d,lab_pumpc20,188080,0.004200340280731603,0.002552105487026797,0.008453849425776266,low,0.008453849425776266,18808,2.0126582278481018,0.007770826473493579,0.0042713507735485925,1.819290169661636,15185,5
f_qv_rank_chg_3d,lab_pumpc20,190640,0.004296055392362568,0.008497691984892992,0.003147293327738145,high,0.008497691984892992,19064,1.978021978021978,0.007963830934505787,0.004400549149442524,1.809735708897757,24109,5
f_drawdown_7d,lab_pumpc20,189872,0.004271298559029241,0.0034758795028439014,0.008847693279966295,low,0.008847693279966295,18988,2.0714293692401484,0.007390953150242326,0.004726745557970283,1.5636452310786288,24760,5
f_up_streak,lab_pumpc20,191408,0.004378082420797459,0.00731414241680163,0.002925656966720652,high,0.00731414241680163,19141,1.6706269352209622,0.007665873645255088,0.005106509554792331,1.5011963774866255,18915,5
f_dist_from_20d_high,lab_pumpc20,186544,0.004116991165623124,0.006378986866791745,0.007129455909943715,low,0.007129455909943715,18655,1.7317151344590367,0.00681395829031592,0.004893527567968515,1.3924430169593685,14529,5
f_near_20d_high,lab_pumpc20,191408,0.004378082420797459,0.004597460947703882,0.0031868763387492816,high,0.004597460947703882,19141,1.0501083592817477,0.0045447899405400135,0.004543530405806323,1.0002772149894894,164144,5
f_qv_spiked_yday,lab_pumpc20,191408,0.004378082420797459,0.006164777179875659,0.002977900841126378,high,0.006164777179875659,19141,1.4080998454005254,0.004577399390079505,0.004577399390079505,1.0,166907,5
