K,cell,kind,floor,cost_tier,extra_slip,mean_n_sell,n,p_loss_lt_5,cvar95,worst,mdd,net_mean,cum,hit,sortino,mean_win,p90_net,h_lt_-10,h_-10_to_-5,h_-5_to_0,h_0_to_+5,h_gt_+5
3,A,single,0.03,conservative,0.0005,1.0,3732,0.0,-0.03499999999999999,-0.034999999999999996,-0.9733859542211939,-0.008167947929466082,-0.9722562360182478,0.3357449088960343,-5.512021648314449,0.04412,0.045,0.0,0.0,0.6642550911039657,0.3357449088960343,0.0
3,L3,ladder,0.03,conservative,0.0005,1.909,3732,0.0,-0.03499999999999999,-0.034999999999999996,-0.9797679520229367,-0.008928156939447459,-0.9791520406525411,0.38638799571275456,-6.839147730565237,0.02613,0.034,0.0,0.0,0.6136120042872455,0.38638799571275456,0.0
3,L5,ladder,0.05,conservative,0.0005,2.192,3732,0.3033226152197213,-0.055,-0.055,-0.9761765800325075,-0.008224678446081386,-0.9732912548975167,0.43113612004287244,-4.793409544439662,0.03179,0.034,0.0,0.3033226152197213,0.2655412647374062,0.43113612004287244,0.0
3,S5,single,0.05,conservative,0.0005,1.0,3732,0.49062165058949625,-0.055,-0.055,-0.9727996786508639,-0.0077244126567909115,-0.96972455364561,0.46061093247588425,-3.7988373755670874,0.04386,0.045,0.0,0.49062165058949625,0.04876741693461951,0.46061093247588425,0.0
5,A,single,0.03,base,0.0,1.0,6220,0.0,-0.03149999999999999,-0.0315,-0.8457047280873387,-0.004034365452821399,-0.8332734045310692,0.3463022508038585,-3.0553664308564756,0.04693,0.0485,0.0,0.0,0.6536977491961414,0.3463022508038585,0.0
5,L3,ladder,0.03,base,0.0,1.922,6220,0.0,-0.031499999999999986,-0.03149999999999999,-0.8634083420224243,-0.004401176747139802,-0.8527828279049541,0.397588424437299,-3.822287624635582,0.03039,0.0385,0.0,0.0,0.602411575562701,0.397588424437299,0.0
5,L5,ladder,0.05,base,0.0,2.18,6220,0.2932475884244373,-0.051500000000000004,-0.051500000000000004,-0.8504237671459463,-0.003985267719248723,-0.8281712288688807,0.5244372990353697,-2.5364502708746195,0.02982,0.0385,0.0,0.2932475884244373,0.18231511254019292,0.5244372990353697,0.0
5,S5,single,0.05,base,0.0,1.0,6220,0.47717041800643084,-0.051500000000000004,-0.051500000000000004,-0.872337818313785,-0.004259066375500902,-0.8531558080706704,0.4620578778135048,-2.266312673745811,0.04615,0.0485,0.0,0.47717041800643084,0.060771704180064307,0.4620578778135048,0.0
5,A,single,0.03,base,0.0002,1.0,6220,0.0,-0.03149999999999999,-0.0315,-0.8457047280873387,-0.004034365452821399,-0.8332734045310692,0.3463022508038585,-3.0553664308564756,0.04693,0.0485,0.0,0.0,0.6536977491961414,0.3463022508038585,0.0
5,L3,ladder,0.03,base,0.0002,1.922,6220,0.0,-0.031499999999999986,-0.03149999999999999,-0.8730816841425654,-0.004585581891834336,-0.8637154068508244,0.397588424437299,-3.9790355869244274,0.03,0.0381,0.0,0.0,0.602411575562701,0.397588424437299,0.0
5,L5,ladder,0.05,base,0.0002,2.18,6220,0.2932475884244373,-0.051500000000000004,-0.051500000000000004,-0.8638903881063229,-0.004221312735325891,-0.8443477981090773,0.5239549839228296,-2.6841978703043203,0.02946,0.0381,0.0,0.2932475884244373,0.18279742765273313,0.5239549839228296,0.0
5,S5,single,0.05,base,0.0002,1.0,6220,0.47717041800643084,-0.051500000000000004,-0.051500000000000004,-0.872337818313785,-0.004259066375500902,-0.8531558080706704,0.4620578778135048,-2.266312673745811,0.04615,0.0485,0.0,0.47717041800643084,0.060771704180064307,0.4620578778135048,0.0
5,A,single,0.03,base,0.0005,1.0,6220,0.0,-0.03149999999999999,-0.0315,-0.8457047280873387,-0.004034365452821399,-0.8332734045310692,0.3463022508038585,-3.0553664308564756,0.04693,0.0485,0.0,0.0,0.6536977491961414,0.3463022508038585,0.0
5,L3,ladder,0.03,base,0.0005,1.922,6220,0.0,-0.031499999999999986,-0.03149999999999999,-0.8863440428346996,-0.004862189608876137,-0.8786150613897201,0.397588424437299,-4.213570175030747,0.02941,0.0375,0.0,0.0,0.602411575562701,0.397588424437299,0.0
5,L5,ladder,0.05,base,0.0005,2.18,6220,0.2932475884244373,-0.051500000000000004,-0.051500000000000004,-0.8818571045894338,-0.004575380259441649,-0.8658091960674612,0.5234726688102894,-2.90527337678384,0.0289,0.0375,0.0,0.2932475884244373,0.1832797427652733,0.5234726688102894,0.0
5,S5,single,0.05,base,0.0005,1.0,6220,0.47717041800643084,-0.051500000000000004,-0.051500000000000004,-0.872337818313785,-0.004259066375500902,-0.8531558080706704,0.4620578778135048,-2.266312673745811,0.04615,0.0485,0.0,0.47717041800643084,0.060771704180064307,0.4620578778135048,0.0
5,A,single,0.03,conservative,0.0,1.0,6220,0.0,-0.034999999999999996,-0.034999999999999996,-0.9639819284919439,-0.007534365452821395,-0.9620133355722507,0.34533762057877815,-5.1330188922905595,0.04355,0.045,0.0,0.0,0.6546623794212219,0.34533762057877815,0.0
5,L3,ladder,0.03,conservative,0.0,1.922,6220,0.0,-0.034999999999999996,-0.034999999999999996,-0.9679779532981048,-0.007901176747139802,-0.9664706690043358,0.3946945337620579,-6.128423537785664,0.0271,0.035,0.0,0.0,0.6053054662379421,0.3946945337620579,0.0
5,L5,ladder,0.05,conservative,0.0,2.18,6220,0.2932475884244373,-0.05499999999999999,-0.055,-0.963969917354075,-0.007485267719248718,-0.9608489055279704,0.43858520900321546,-4.424847812773801,0.0318,0.035,0.0,0.2932475884244373,0.2681672025723473,0.43858520900321546,0.0
5,S5,single,0.05,conservative,0.0,1.0,6220,0.47717041800643084,-0.05499999999999999,-0.055,-0.9690716951614678,-0.007759066375500896,-0.9665643624956824,0.4567524115755627,-3.860060664960007,0.04316,0.045,0.0,0.47717041800643084,0.06607717041800643,0.4567524115755627,0.0
5,A,single,0.03,conservative,0.0002,1.0,6220,0.0,-0.034999999999999996,-0.034999999999999996,-0.9639819284919439,-0.007534365452821395,-0.9620133355722507,0.34533762057877815,-5.1330188922905595,0.04355,0.045,0.0,0.0,0.6546623794212219,0.34533762057877815,0.0
5,L3,ladder,0.03,conservative,0.0002,1.922,6220,0.0,-0.034999999999999996,-0.034999999999999996,-0.9703103747327055,-0.008085581891834339,-0.9689690018617371,0.3946945337620579,-6.266156515646197,0.0267,0.0346,0.0,0.0,0.6053054662379421,0.3946945337620579,0.0
5,L5,ladder,0.05,conservative,0.0002,2.18,6220,0.2932475884244373,-0.05499999999999999,-0.055,-0.9672246126447398,-0.007721312735325891,-0.9645470130592466,0.43858520900321546,-4.559984542044244,0.03141,0.0346,0.0,0.2932475884244373,0.2681672025723473,0.43858520900321546,0.0
5,S5,single,0.05,conservative,0.0002,1.0,6220,0.47717041800643084,-0.05499999999999999,-0.055,-0.9690716951614678,-0.007759066375500896,-0.9665643624956824,0.4567524115755627,-3.860060664960007,0.04316,0.045,0.0,0.47717041800643084,0.06607717041800643,0.4567524115755627,0.0
5,A,single,0.03,conservative,0.0005,1.0,6220,0.0,-0.034999999999999996,-0.034999999999999996,-0.9639819284919439,-0.007534365452821395,-0.9620133355722507,0.34533762057877815,-5.1330188922905595,0.04355,0.045,0.0,0.0,0.6546623794212219,0.34533762057877815,0.0
5,L3,ladder,0.03,conservative,0.0005,1.922,6220,0.0,-0.034999999999999996,-0.034999999999999996,-0.9734952290858742,-0.008362189608876138,-0.9723727578080984,0.3946945337620579,-6.472214721278767,0.02611,0.034,0.0,0.0,0.6053054662379421,0.3946945337620579,0.0
5,L5,ladder,0.05,conservative,0.0005,2.18,6220,0.2932475884244373,-0.05499999999999999,-0.055,-0.971565142260827,-0.008075380259441645,-0.9694511775668103,0.43858520900321546,-4.762045851377817,0.03083,0.034,0.0,0.2932475884244373,0.2681672025723473,0.43858520900321546,0.0
5,S5,single,0.05,conservative,0.0005,1.0,6220,0.47717041800643084,-0.05499999999999999,-0.055,-0.9690716951614678,-0.007759066375500896,-0.9665643624956824,0.4567524115755627,-3.860060664960007,0.04316,0.045,0.0,0.47717041800643084,0.06607717041800643,0.4567524115755627,0.0
