market,date,first,both_touched,intraday_max,intraday_min,eod_ret,net_hard_sl_path,net_tp_eod_noSL,net_timestop_4h
KRW-ARDR,2026-01-15,none,False,0.0,-0.02399127589967287,-0.017448200654307633,-0.018948200654307634,-0.018948200654307634,-0.02003871319520173
KRW-IP,2026-01-15,sl,False,0.06903353057199202,-0.24043392504930972,-0.1806706114398422,-0.051500000000000004,-0.1821706114398422,-0.051500000000000004
KRW-IN,2026-01-15,sl,False,0.0,-0.07075471698113212,-0.05660377358490565,-0.051500000000000004,-0.05810377358490565,-0.03923584905660377
KRW-FF,2026-01-15,none,False,0.023076923076922995,-0.03076923076923077,-0.01538461538461533,-0.01688461538461533,-0.01688461538461533,-0.01688461538461533
KRW-ENA,2026-01-15,sl,False,0.002873563218390718,-0.06609195402298851,-0.048850574712643646,-0.051500000000000004,-0.05035057471264365,-0.03885632183908044
KRW-BORA,2026-01-15,none,False,0.0044709388971686526,-0.03576751117734711,-0.02235469448584204,-0.023854694485842043,-0.023854694485842043,-0.017893442622950728
KRW-RAY,2026-01-15,sl,False,0.0027762354247640175,-0.07995558023320382,-0.06662965019433653,-0.051500000000000004,-0.06812965019433653,-0.04036729594669625
KRW-ALGO,2026-01-15,sl,False,0.004999999999999893,-0.06499999999999995,-0.06000000000000005,-0.051500000000000004,-0.061500000000000055,-0.02150000000000002
KRW-WET,2026-01-15,sl,False,0.024154589371980784,-0.08695652173913049,-0.048309178743961345,-0.051500000000000004,-0.049809178743961346,-0.025654589371980674
KRW-MED,2026-01-15,none,False,0.0,-0.042154566744730615,-0.03747072599531598,-0.03897072599531598,-0.03897072599531598,-0.03897072599531598
KRW-HBAR,2026-01-15,sl,False,0.0,-0.05524861878453036,-0.03867403314917128,-0.051500000000000004,-0.040174033149171284,-0.03464917127071826
KRW-SHIB,2026-01-15,none,False,0.0078125,-0.046875,-0.03125000000000011,-0.03275000000000011,-0.03275000000000011,-0.0249375
KRW-PROVE,2026-01-15,sl,False,0.004672897196261738,-0.07009345794392519,-0.05919003115264798,-0.051500000000000004,-0.06069003115264798,-0.034210280373831725
KRW-DRIFT,2026-01-15,sl,False,0.022556390977443552,-0.08270676691729328,-0.041353383458646586,-0.051500000000000004,-0.04285338345864659,-0.051500000000000004
KRW-AVNT,2026-01-15,sl,False,0.002105263157894832,-0.1010526315789474,-0.08842105263157896,-0.051500000000000004,-0.08992105263157896,-0.04150000000000004
KRW-ATOM,2026-01-15,none,False,0.005548216644649884,-0.047556142668428,-0.0351387054161163,-0.0366387054161163,-0.0366387054161163,-0.018144649933949764
KRW-KITE,2026-01-15,none,False,0.03623188405797095,-0.01449275362318836,0.021739130434782705,0.020239130434782704,0.020239130434782704,-0.0015
KRW-WCT,2026-01-15,sl,False,0.008196721311475308,-0.06557377049180324,-0.049180327868852514,-0.051500000000000004,-0.050680327868852515,-0.051500000000000004
KRW-BOUNTY,2026-01-15,sl,False,0.0,-0.12863070539419097,-0.10373443983402486,-0.051500000000000004,-0.10523443983402486,-0.051500000000000004
KRW-DOGE,2026-01-15,sl,False,0.0,-0.05092592592592593,-0.04166666666666663,-0.051500000000000004,-0.04316666666666663,-0.02927777777777779
KRW-BAT,2026-01-15,sl,False,0.016666666666666607,-0.06999999999999995,-0.053333333333333344,-0.051500000000000004,-0.054833333333333345,-0.03150000000000003
KRW-MANTRA,2026-01-16,none,False,0.027027027027026973,-0.018018018018018056,0.027027027027026973,0.02552702702702697,0.02552702702702697,-0.019518018018018057
KRW-AVAX,2026-01-16,none,False,0.004418262150220897,-0.0402552773686794,-0.014236622484045114,-0.015736622484045115,-0.015736622484045115,-0.006900098183603319
KRW-RED,2026-01-16,none,False,0.016348773841961872,-0.021798365122615793,0.01089918256130784,0.009399182561307841,0.009399182561307841,-0.0015
KRW-ADA,2026-01-16,none,False,0.01379310344827589,-0.03103448275862064,0.006896551724137945,0.005396551724137945,0.005396551724137945,-0.006672413793103403
KRW-ASTR,2026-01-16,none,False,0.024844720496894235,-0.006211180124223725,0.024844720496894235,0.023344720496894233,0.023344720496894233,-0.0015
KRW-ALT,2026-01-16,none,False,0.08791208791208804,-0.01098901098901095,0.0714285714285714,0.0699285714285714,0.0699285714285714,-0.0069945054945053636
KRW-MIRA,2026-01-16,none,False,0.014999999999999902,-0.020000000000000018,0.014999999999999902,0.013499999999999903,0.013499999999999903,-0.011500000000000008
KRW-ZORA,2026-01-16,none,False,0.041825095057034245,-0.0019011406844107182,0.034220532319391594,0.03272053231939159,0.03272053231939159,0.015610266159695798
KRW-CELO,2026-01-16,none,False,0.06951871657754016,-0.005347593582887722,0.06417112299465244,0.06267112299465244,0.06267112299465244,0.003847593582887722
KRW-W,2026-01-16,none,False,0.005555555555555536,-0.03703703703703709,-0.0018518518518518823,-0.0033518518518518823,-0.0033518518518518823,-0.0015
KRW-ICX,2026-01-16,none,False,0.027874564459930307,-0.018583042973286834,0.024390243902439046,0.022890243902439045,0.022890243902439045,-0.013114401858304313
KRW-RENDER,2026-01-16,none,False,0.036074594925099346,-0.02384591867930297,0.009782940996637013,0.008282940996637013,0.008282940996637013,-0.01586869458881074
KRW-MED,2026-01-16,tp,False,0.2968369829683697,0.0,0.12895377128953744,0.0985,0.0985,0.0985
KRW-BERA,2026-01-16,none,False,0.0983772819472617,-0.04361054766734285,0.03651115618661249,0.03501115618661249,0.03501115618661249,-0.022798174442190622
KRW-AKT,2026-01-16,none,False,0.004243281471004279,-0.03111739745403108,-0.028288543140028266,-0.029788543140028267,-0.029788543140028267,-0.012815417256011262
KRW-WAL,2026-01-16,none,False,0.09049773755656099,-0.004524886877828038,0.05882352941176472,0.05732352941176472,0.05732352941176472,0.025649321266968228
KRW-PUMP,2026-01-16,tp,False,0.13749999999999996,-0.0024999999999999467,0.09000000000000008,0.0985,0.0985,0.01600000000000007
KRW-SC,2026-01-16,none,False,0.016528925619834656,-0.004132231404958553,0.016528925619834656,0.015028925619834656,0.015028925619834656,0.006764462809917328
KRW-BIO,2026-01-16,tp,False,0.1446740858505564,-0.019077901430842537,0.10333863275039756,0.0985,0.0985,8.982511923699829e-05
KRW-PUNDIX,2026-01-16,none,False,0.016949152542372836,-0.01412429378531077,0.016949152542372836,0.015449152542372837,0.015449152542372837,-0.007149717514124241
KRW-CBK,2026-01-16,none,False,0.013752455795677854,-0.01964636542239684,0.005893909626718985,0.004393909626718985,0.004393909626718985,0.004393909626718985
KRW-ANIME,2026-01-16,none,False,0.017857142857143016,-0.03571428571428559,-0.008928571428571397,-0.010428571428571396,-0.010428571428571396,-0.0015
KRW-ONDO,2026-01-16,none,False,0.017825311942959,-0.021390374331550777,0.00891265597147961,0.007412655971479611,0.007412655971479611,-0.008630124777183555
KRW-DEEP,2026-01-16,none,False,0.05502063273727642,-0.024759284731774356,0.005502063273727487,0.004002063273727487,0.004002063273727487,-0.0015
KRW-POKT,2026-01-16,none,False,0.005235602094240788,-0.03141361256544506,-0.005235602094240899,-0.006735602094240898,-0.006735602094240898,-0.006735602094240898
KRW-PYTH,2026-01-16,none,False,0.04088050314465397,-0.02515723270440262,0.03563941299790341,0.03413941299790341,0.03413941299790341,-0.003596436058700246
KRW-XPL,2026-01-16,none,False,0.03791469194312791,-0.033175355450236976,0.014218009478673022,0.012718009478673022,0.012718009478673022,-0.006239336492891044
KRW-NEO,2026-01-16,none,False,0.024778761061946986,-0.015929203539822967,0.024778761061946986,0.023278761061946984,0.023278761061946984,-0.0015
KRW-MOCA,2026-01-16,none,False,0.02686567164179099,-0.04477611940298509,0.020895522388059806,0.019395522388059805,0.019395522388059805,-0.034335820895522395
KRW-WET,2026-01-16,sl,False,0.015306122448979664,-0.05102040816326525,0.005102040816326481,-0.051500000000000004,0.0036020408163264807,-0.00660204081632648
KRW-IN,2026-01-16,none,False,0.010000000000000009,-0.0009999999999998899,0.010000000000000009,0.00850000000000001,0.00850000000000001,-0.0015
KRW-VANA,2026-01-16,none,False,0.0057553956834532904,-0.018705035971222972,0.004892086330935186,0.003392086330935186,0.003392086330935186,-0.010420863309352489
KRW-API3,2026-01-16,none,False,0.02808112324492984,-0.015600624024960985,0.02808112324492984,0.02658112324492984,0.02658112324492984,-0.0030600624024960652
KRW-DOOD,2026-01-16,none,False,0.014851485148514865,-0.027227722772277252,0.007425742574257432,0.005925742574257433,0.005925742574257433,-0.026252475247524776
KRW-NEWT,2026-01-16,none,False,0.026666666666666616,-0.013333333333333308,0.026666666666666616,0.025166666666666615,0.025166666666666615,-0.00816666666666671
KRW-SEI,2026-01-16,none,False,0.011235955056179803,-0.028089887640449396,-0.005617977528089901,-0.007117977528089901,-0.007117977528089901,-0.012735955056179802
KRW-MON,2026-01-16,none,False,0.021472392638036686,-0.039877300613496924,0.009202453987730008,0.007702453987730009,0.007702453987730009,-0.013769938650306677
KRW-GAS,2026-01-16,none,False,0.035865666775350524,-0.00847733941962825,0.03162699706553629,0.030126997065536287,0.030126997065536287,-0.0008478969677209723
KRW-SUI,2026-01-16,none,False,0.008768585589020272,-0.03431185665268777,0.005718642775447869,0.004218642775447869,0.004218642775447869,-0.004549942813572292
KRW-ETC,2026-01-16,none,False,0.01988178398710372,-0.024180548092423426,0.01182160128962928,0.01032160128962928,0.01032160128962928,0.00011203653949493205
KRW-VET,2026-01-16,none,False,0.03529411764705892,-0.0235294117647058,0.0235294117647058,0.022029411764705797,0.022029411764705797,-0.00738235294117656
KRW-THETA,2026-01-16,none,False,0.04260089686098656,-0.006726457399103158,0.03587443946188351,0.03437443946188351,0.03437443946188351,0.018679372197309363
KRW-HUNT,2026-01-16,none,False,0.022831050228310446,-0.0091324200913242,0.009132420091324311,0.007632420091324312,0.007632420091324312,-0.0015
KRW-TRUST,2026-01-16,none,False,0.0185185185185186,-0.024691358024691357,0.012345679012345734,0.010845679012345734,0.010845679012345734,-0.0076728395061728665
KRW-LSK,2026-01-16,none,False,0.03344481605351168,-0.010033444816053505,0.03344481605351168,0.03194481605351168,0.03194481605351168,0.0018444816053511683
