strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
random_top100,TP3_only,0.15,5080,754,-0.08103665259307315,56.751968503937015,-78.49295935435114,-1.261541585407372,-87.75264324858004,-13.35035854191452
atr_14,TP3_only,0.15,5080,754,-0.22012807710137333,60.43307086614173,-79.8571927361499,-1.280780636950555,-84.61558219727654,-13.031005890927979
distribution_beta,TP3_only,0.2,5080,754,0.23194056033815283,68.03149606299212,37.01588000432181,0.5611874128969553,-64.9315100113814,-13.670770968652924
setup_momentum,TP3_only,0.2,5080,754,0.20237189101019296,67.81496062992126,17.924814645525288,0.4184368548537494,-66.63810099448106,-13.670770968652924
momentum_1d,TP3_only,0.2,5080,754,0.1887589232887103,67.57874015748031,9.890804021825561,0.35464466261678057,-66.41702390882881,-15.348157304420518
setup_only,TP3_only,0.2,5080,754,0.18914463694680178,67.89370078740158,10.01301197533271,0.35291755161045013,-66.74329318092933,-13.670770968652924
vol_momentum,TP3_only,0.2,5080,754,0.11067025487805968,67.46062992125984,-14.122051530547175,0.11614774565957377,-75.11843722974683,-13.670770968652924
random_top100,TP3_only,0.2,5080,754,-0.1310366525930732,56.33858267716535,-85.26266009406078,-1.6332539815657527,-90.81959480136156,-13.40035854191452
atr_14,TP3_only,0.2,5080,754,-0.2701280771013733,60.15748031496063,-86.19801478007561,-1.6431766164319577,-88.91026847527014,-13.08100589092798
random_top100,TP5_SL3,0.15,5080,754,-0.29695929967421325,40.47244094488189,-95.18195247069958,-3.3392139336613296,-95.53906827890349,-3.15
distribution_beta,TP5_SL3,0.15,5080,754,-0.4783342043997535,34.76377952755906,-99.23373669392748,-5.621095383439771,-99.3037646423569,-3.15
setup_momentum,TP5_SL3,0.15,5080,754,-0.491748424050765,34.547244094488185,-99.2821257736499,-5.76057219129713,-99.35939842687628,-3.15
momentum_1d,TP5_SL3,0.15,5080,754,-0.5038095251002207,34.29133858267717,-99.31818389111204,-5.812986683395539,-99.38208226461286,-3.15
setup_only,TP5_SL3,0.15,5080,754,-0.5097124402053386,34.27165354330708,-99.34495797952594,-5.875987031058177,-99.41105633641365,-3.15
atr_14,TP5_SL3,0.15,5080,754,-0.60422410195586,34.27165354330708,-99.4554031325554,-6.123125017062728,-99.52453818824777,-3.15
