pattern,split_cond,median_cut,n_hi,n_lo,net_tp_sl_hi,net_tp_sl_lo,net_tp_sl_diff,net_eod_hi,net_eod_lo,spike_dump_hi,spike_dump_lo,spike_sustain_hi,spike_sustain_lo,n_spike,abs_net_diff
mom_ret_3d,f_qv_rank,35.0,8585,8457,-0.002457741630072463,-0.011518009087987396,0.009060267457914934,0.0008149959085743505,-0.007744000952494904,0.102803738317757,0.1568627450980392,0.7623497997329773,0.6988795518207283,1463,0.009060267457914934
mom_ret_3d,f_rv_21d,0.04766124774184755,8457,8456,-0.011335814200283968,-0.002298330370831151,-0.009037483829452818,-0.007554138921301205,0.0008496711344121386,0.15950069348127602,0.0970873786407767,0.7018030513176144,0.7628294036061026,1442,0.009037483829452818
mom_ret_3d,f_dist_from_20d_high,-0.08965517241379939,8352,8350,-0.0027984703476102604,-0.01054341893791328,0.00774494859030302,0.002323566470587181,-0.008679114483260572,0.10875706214689265,0.1497175141242938,0.7669491525423728,0.6991525423728814,1416,0.00774494859030302
mom_ret_3d,f_ret_3d,0.11544588612812812,8521,8521,-0.01042174936639523,-0.0034859509916943697,-0.00693579837470086,-0.005474446826542715,-0.0013902728284436242,0.17896174863387979,0.07934336525307797,0.6762295081967213,0.786593707250342,1463,0.00693579837470086
mom_ret_3d,f_ret_7d,0.11960663276817252,8482,8482,-0.00964988992253086,-0.00408140061505232,-0.005568489307478541,-0.0026881275734738095,-0.003972250596636298,0.1489655172413793,0.10620689655172413,0.7172413793103448,0.7489655172413793,1450,0.005568489307478541
mom_ret_3d,f_qv_surge_30d,1.5967430468289092,8251,8251,-0.00921041847641343,-0.004249552423401188,-0.004960866053012241,-0.004002382288997247,-0.002385109292132715,0.1697841726618705,0.0920863309352518,0.6762589928057554,0.7841726618705036,1390,0.004960866053012241
mom_ret_3d,f_pos_in_20d_range,0.7128798322870067,8351,8351,-0.004603391802098306,-0.008737570055741087,0.004134178253642781,0.001594407920741005,-0.007948638404860467,0.10875706214689265,0.1497175141242938,0.7655367231638418,0.7005649717514124,1416,0.004134178253642781
mom_ret_3d,f_dist_from_60d_high,-0.1933449471032086,7945,7945,-0.005270755524266061,-0.007755662881363905,0.0024849073570978432,0.0017082583048230822,-0.007380255221016988,0.10692771084337349,0.1478129713423831,0.766566265060241,0.6998491704374057,1327,0.0024849073570978432
mom_ret_3d,f_ret_14d,0.11794546607482559,8409,8408,-0.007774251585601827,-0.0057392921700945045,-0.0020349594155073224,-0.0007112113992429383,-0.005830344963345994,0.13426573426573427,0.12447552447552447,0.7454545454545455,0.7202797202797203,1430,0.0020349594155073224
mom_ret_3d,f_qv_surge_7d,1.3964734680193134,8492,8491,-0.007866917194787576,-0.005949102882294484,-0.0019178143124930916,-0.004602988278816096,-0.002173765670117153,0.17103448275862068,0.08413793103448276,0.6731034482758621,0.7931034482758621,1450,0.0019178143124930916
