market,date,pump_prob,raw_score,regime,f_qv_surge_7d,f_qv_surge_30d,f_ret_3d,f_ret_7d,f_bounce_off_7d_low,f_atr_pct_14,f_rv_7d,f_qv_rank
KRW-SAHARA,2026-07-26,0.011964735516372796,0.41720403477495355,bear_quiet,3.11599045712933,3.0264226159000582,-0.014925373134328401,-0.007518796992481258,0.0393700787400757,0.055194805194801015,0.01717966202526111,9.0
KRW-MMT,2026-07-26,0.011964735516372796,0.4262593129894287,bear_quiet,0.8057418525910887,0.2751066974083411,0.00390625,-0.02281368821292773,0.08438818565400386,0.0872707059477484,0.03740618206435841,86.0
KRW-BEAM,2026-07-26,0.011964735516372796,0.4005440413433454,bear_quiet,1.506075842947129,1.8778707587004089,0.03587443946188351,0.03125,0.07441860465066319,0.05813234384660438,0.04928456107795568,92.0
KRW-AGLD,2026-07-26,0.010705289672544081,0.3474685836192916,bear_quiet,1.1982341185977246,0.08843504933148738,-0.03083700440528636,-0.051724137931034475,0.03286384976525336,0.10324675324675278,0.03373930190081672,68.0
KRW-API3,2026-07-26,0.010705289672544081,0.34538727213632897,bear_quiet,2.418198258894859,3.0823967996838153,-0.018292682926829285,0.006250000000000089,0.08783783783783417,0.04813664596273277,0.01560822393545224,74.0
KRW-AQT,2026-07-26,0.010388792696363922,0.3813037151668822,bear_quiet,0.21434284795439057,0.11728857822312069,0.0,-0.0699300699300699,0.03501945525291417,0.116272824919441,0.018143701089585487,80.0
KRW-FLUID,2026-07-26,0.010388792696363922,0.39254930412215894,bear_quiet,1.2658993188281502,0.30633458489815274,0.10059563203176713,0.071520618556701,0.15246015246015165,0.05648140194141394,0.04271775769300171,89.0
KRW-T,2026-07-26,0.010388792696363922,0.3742231343814015,bear_quiet,0.1910478481241173,0.04993458227719787,-0.03136531365313655,-0.12353923205342243,0.009615384615190514,0.1718367346938448,0.017734511523881013,98.0
KRW-IRYS,2026-07-26,0.008499921297025028,0.33319263514031533,bear_quiet,0.7204186779381417,0.7998914235661411,0.043243243243243246,0.015789473684210575,0.09039548022592725,0.06032568467801314,0.030430544737066714,60.0
KRW-CFG,2026-07-26,0.008185109397135211,0.2604695016915741,bear_quiet,0.4823634445039134,0.4194416274273612,-0.07777777777777772,0.020491803278688492,0.0550847457627075,0.07687894434882356,0.039912314846440006,99.0
KRW-STX,2026-07-26,0.008185109397135211,0.2717033645228885,bear_quiet,1.9020072202204783,3.741579682251064,-0.18951612903225812,-0.17622950819672134,0.020304568527913736,0.05472636815920371,0.05059122872481874,14.0
KRW-TAIKO,2026-07-26,0.008185109397135211,0.2642979861689914,bear_quiet,0.7660321976302363,0.13748588444164767,-0.025210084033613467,-0.049180327868852514,0.01754385964911398,0.0862068965517234,0.03243599989444077,56.0
KRW-FLOCK,2026-07-26,0.008185109397135211,0.27294408434263245,bear_quiet,0.5326508266044784,0.22419443324261462,-0.036170212765957555,-0.04025423728813571,0.03661327231118894,0.10186061179438437,0.0184968342691151,77.0
KRW-ID,2026-07-26,0.008185109397135211,0.26173996802587435,bear_quiet,1.2084284516025425,0.22957338913156936,-0.0195227765726681,-0.09236947791164651,0.03669724770639826,0.06747787610619317,0.02322203023071096,41.0
KRW-VIRTUAL,2026-07-26,0.007399244332493703,0.24839886285451915,bear_quiet,0.5886203838124686,0.40175015583303686,-0.07290533188248094,-0.06476399560922064,0.009478672985780756,0.06983568075117362,0.03272902792279717,48.0
KRW-AKT,2026-07-26,0.007399244332493703,0.2429336939966021,bear_quiet,1.0469737605832872,0.8138812993908825,-0.12421580928481801,-0.12640801001251567,0.04334828101644095,0.06180925092099868,0.03431403678765429,85.0
KRW-CC,2026-07-26,0.007399244332493703,0.25628236259712717,bear_quiet,0.790511280965022,0.4881367122316988,0.0,-0.032432432432432434,0.05917159763312996,0.05666400638467646,0.020795822809502405,94.0
