n,n_days,top3_coverage,avg_picks_per_day,replacement_rate_vs_r1,candidate_veto_rate,fallback_pick_rate,net_mean,daily_net_mean,hit_rate,sl_first_rate,tp_first_rate,mfe10_rate,mfe20_rate,dn5_rate,safe_up10_rate,eod_deep_loss_rate,mfe_mean,mae_mean,cvar95,cum_net,max_drawdown,sharpe_sqrt365,cohort,policy,fold
390,130,1.0,3.0,0.0,0.0,0.0,-0.0017736617116982235,-0.0017736617116982229,0.39487179487179486,0.5230769230769231,0.3,0.18717948717948718,0.06923076923076923,0.382051282051282,0.16923076923076924,0.18461538461538463,0.066728116362655,-0.048752780499132564,-0.03149999999999999,-0.2297512674686576,-0.2860657191809891,-1.5623665078481632,m15_common_complete_all,R1_baseline,4
390,130,1.0,3.0,0.32820512820512826,0.33,0.0,-0.0033461734530445338,-0.003346173453044533,0.37948717948717947,0.5307692307692308,0.26153846153846155,0.14615384615384616,0.05641025641025641,0.3487179487179487,0.13333333333333333,0.15384615384615385,0.0587429951736347,-0.04612187897033512,-0.03149999999999999,-0.3727678281933523,-0.3761169410715781,-2.931134397409594,m15_common_complete_all,veto_within_day_top_third,4
390,130,1.0,3.0,0.002564102564102555,0.13830769230769233,0.0,-0.0015685335065700186,-0.0015685335065700177,0.3974358974358974,0.5205128205128206,0.30256410256410254,0.18461538461538463,0.06666666666666667,0.382051282051282,0.16666666666666666,0.18461538461538463,0.064861882983644,-0.04867271459156438,-0.03149999999999999,-0.20911154259761167,-0.26943941926930176,-1.37554052453034,m15_common_complete_all,veto_train_cal50,4
390,130,1.0,3.0,0.9333333333333333,0.0,0.0,-0.0032993898149513232,-0.0032993898149513224,0.39487179487179486,0.19487179487179487,0.06666666666666667,0.015384615384615385,0.002564102564102564,0.07948717948717948,0.01282051282051282,0.038461538461538464,0.020318060357682258,-0.0202342304869058,-0.03149999999999999,-0.35943627608120177,-0.3627458918634576,-4.036105156664814,m15_common_complete_all,lexicographic_risk_first,4
393,131,1.0,3.0,0.0,0.0,0.0,-0.00482643704044954,-0.00482643704044954,0.3384223918575064,0.549618320610687,0.26208651399491095,0.16030534351145037,0.035623409669211195,0.3511450381679389,0.15267175572519084,0.178117048346056,0.05702571705551552,-0.043943278433243034,-0.03149999999999999,-0.4833794875275249,-0.5327244146353586,-4.56912141831567,m15_common_complete_all,R1_baseline,5
393,131,1.0,3.0,0.4961832061068703,0.33,0.0,-0.0022930991544639766,-0.0022930991544639766,0.37404580152671757,0.4732824427480916,0.25699745547073793,0.1450381679389313,0.03307888040712468,0.27735368956743,0.14249363867684478,0.11959287531806616,0.051230677383174515,-0.03713663741299983,-0.03149999999999999,-0.2808926329903615,-0.4169864435067699,-2.074262765101005,m15_common_complete_all,veto_within_day_top_third,5
393,131,1.0,3.0,0.0025445292620864812,0.0816030534351145,0.0,-0.004726063774146182,-0.004726063774146181,0.34096692111959287,0.5470737913486005,0.26208651399491095,0.16030534351145037,0.035623409669211195,0.3486005089058524,0.15267175572519084,0.178117048346056,0.05709174628988546,-0.04382245376440712,-0.03149999999999999,-0.47659846773909464,-0.5265910828869859,-4.459596466006166,m15_common_complete_all,veto_train_cal50,5
393,131,1.0,3.0,0.9669211195928753,0.0,0.0,-0.0025045082171099783,-0.002504508217109978,0.41475826972010177,0.178117048346056,0.05089058524173028,0.01272264631043257,0.0,0.04071246819338423,0.01272264631043257,0.020356234096692113,0.01696167758730051,-0.017341510887212166,-0.03149999999999999,-0.2918297857521427,-0.31473847168557956,-2.9998711062792474,m15_common_complete_all,lexicographic_risk_first,5
141,47,1.0,3.0,0.0,0.0,0.0,-0.001936889866201568,-0.0019368898662015684,0.3900709219858156,0.524822695035461,0.3049645390070922,0.19148936170212766,0.09219858156028368,0.425531914893617,0.1773049645390071,0.1773049645390071,0.0730622888291809,-0.05248326182943594,-0.0315,-0.09418324931269229,-0.18610042562173326,-2.0158546266350954,m15_common_complete_locked_180,R1_baseline,4
141,47,1.0,3.0,0.3262411347517731,0.33,0.0,-0.003052217885931401,-0.0030522178859314006,0.3971631205673759,0.5390070921985816,0.2695035460992908,0.14893617021276595,0.06382978723404255,0.40425531914893614,0.14184397163120568,0.1702127659574468,0.0649939807740667,-0.051498167243133164,-0.0315,-0.14060738736826006,-0.19326756709194515,-3.166075797400278,m15_common_complete_locked_180,veto_within_day_top_third,4
141,47,1.0,3.0,0.007092198581560294,0.1576595744680851,0.0,-0.0013695139796767453,-0.001369513979676746,0.3971631205673759,0.5177304964539007,0.3120567375886525,0.18439716312056736,0.0851063829787234,0.425531914893617,0.1702127659574468,0.1773049645390071,0.06790036671702285,-0.052261802936162234,-0.0315,-0.06991081921556086,-0.1671461061764141,-1.4010841963082634,m15_common_complete_locked_180,veto_train_cal50,4
141,47,1.0,3.0,0.950354609929078,0.0,0.0,-0.0037782652920205864,-0.003778265292020584,0.41134751773049644,0.2127659574468085,0.06382978723404255,0.014184397163120567,0.0070921985815602835,0.10638297872340426,0.0070921985815602835,0.05673758865248227,0.02162025811753964,-0.02196036776689104,-0.0315,-0.1667488547788334,-0.19129942219680593,-5.181667270448723,m15_common_complete_locked_180,lexicographic_risk_first,4
393,131,1.0,3.0,0.0,0.0,0.0,-0.00482643704044954,-0.00482643704044954,0.3384223918575064,0.549618320610687,0.26208651399491095,0.16030534351145037,0.035623409669211195,0.3511450381679389,0.15267175572519084,0.178117048346056,0.05702571705551552,-0.043943278433243034,-0.03149999999999999,-0.4833794875275249,-0.5327244146353586,-4.56912141831567,m15_common_complete_locked_180,R1_baseline,5
393,131,1.0,3.0,0.4961832061068703,0.33,0.0,-0.0022930991544639766,-0.0022930991544639766,0.37404580152671757,0.4732824427480916,0.25699745547073793,0.1450381679389313,0.03307888040712468,0.27735368956743,0.14249363867684478,0.11959287531806616,0.051230677383174515,-0.03713663741299983,-0.03149999999999999,-0.2808926329903615,-0.4169864435067699,-2.074262765101005,m15_common_complete_locked_180,veto_within_day_top_third,5
393,131,1.0,3.0,0.0025445292620864812,0.0816030534351145,0.0,-0.004726063774146182,-0.004726063774146181,0.34096692111959287,0.5470737913486005,0.26208651399491095,0.16030534351145037,0.035623409669211195,0.3486005089058524,0.15267175572519084,0.178117048346056,0.05709174628988546,-0.04382245376440712,-0.03149999999999999,-0.47659846773909464,-0.5265910828869859,-4.459596466006166,m15_common_complete_locked_180,veto_train_cal50,5
393,131,1.0,3.0,0.9669211195928753,0.0,0.0,-0.0025045082171099783,-0.002504508217109978,0.41475826972010177,0.178117048346056,0.05089058524173028,0.01272264631043257,0.0,0.04071246819338423,0.01272264631043257,0.020356234096692113,0.01696167758730051,-0.017341510887212166,-0.03149999999999999,-0.2918297857521427,-0.31473847168557956,-2.9998711062792474,m15_common_complete_locked_180,lexicographic_risk_first,5
