head,regime,liq,topK_pct,n_sub,base_rate_pct,n_top,precision_pct,lift,active_days,total_days,active_pct_of_period,avg_fail_eod_pct,worst5_fail_eod_pct
h2_hit_3_4h,bull_quiet,top50,0.5,19000,21.205263157894738,95,49.473684210526315,2.333085132787292,47,380,12.368421052631579,-2.6954394857187562,-20.505755727284132
h2_hit_3_4h,bull_quiet,top50,1.0,19000,21.205263157894738,190,51.578947368421055,2.4323653512037726,94,380,24.736842105263158,-3.7872572965059956,-19.088827443186727
h2_hit_3_4h,bull_quiet,top50,2.0,19000,21.205263157894738,380,53.1578947368421,2.506825515016133,177,380,46.578947368421055,-3.449533913708882,-17.452829592448545
h2_hit_3_4h,bull_volatile,all,0.1,32170,17.76188995958968,32,43.75,2.463138781939097,6,268,2.2388059701492535,-6.079884063371107,
h2_hit_3_4h,bull_volatile,all,0.5,32170,17.76188995958968,160,38.125,2.1464495099754988,41,268,15.298507462686567,-4.9303604550401285,-10.635993050745459
h2_hit_3_4h,bull_volatile,all,1.0,32170,17.76188995958968,321,46.10591900311526,2.5957777639660797,86,268,32.08955223880597,-4.293025368073515,-11.596360369609853
h2_hit_3_4h,bull_volatile,all,2.0,32170,17.76188995958968,643,49.61119751166407,2.793126048215319,148,268,55.223880597014926,-2.621910344644273,-11.87021446937775
h2_hit_3_4h,bull_volatile,top100,0.1,26800,18.73134328358209,26,42.30769230769231,2.2586576769843703,7,268,2.6119402985074625,-6.153595236283394,
h2_hit_3_4h,bull_volatile,top100,0.5,26800,18.73134328358209,134,46.26865671641791,2.4701195219123506,47,268,17.537313432835823,-5.511700525941945,-11.013641126926089
h2_hit_3_4h,bull_volatile,top100,1.0,26800,18.73134328358209,268,51.11940298507462,2.729083665338645,82,268,30.597014925373134,-4.798002929754601,-11.945393479429317
h2_hit_3_4h,bull_volatile,top100,2.0,26800,18.73134328358209,536,52.052238805970156,2.7788844621513946,138,268,51.49253731343284,-2.880624569745873,-11.910425431032039
h2_hit_3_4h,bull_volatile,top50,0.1,13400,22.492537313432837,13,61.53846153846154,2.7359501812056557,7,268,2.6119402985074625,-8.529101344815759,
h2_hit_3_4h,bull_volatile,top50,0.5,13400,22.492537313432837,67,53.73134328358209,2.38885202388852,32,268,11.940298507462686,-6.261137390952685,-13.333135355904446
h2_hit_3_4h,bull_volatile,top50,1.0,13400,22.492537313432837,134,55.223880597014926,2.4552090245520906,62,268,23.134328358208954,-5.639472833146389,-13.292400743501176
h2_hit_3_4h,bull_volatile,top50,2.0,13400,22.492537313432837,268,54.47761194029851,2.4220305242203053,94,268,35.07462686567165,-3.6939218730066794,-11.97407649776023
h2_hit_3_4h,bear_all,all,0.1,16486,17.17214606332646,16,50.0,2.911691981631932,12,132,9.090909090909092,-6.710669769986552,
h2_hit_3_4h,bear_all,all,0.5,16486,17.17214606332646,82,53.65853658536586,3.1247426144342687,51,132,38.63636363636363,-4.068467244043939,-12.384707987934105
h2_hit_3_4h,bear_all,all,1.0,16486,17.17214606332646,164,50.0,2.911691981631932,77,132,58.333333333333336,-2.36791361294902,-10.15287188266991
h2_hit_3_4h,bear_all,all,2.0,16486,17.17214606332646,329,49.24012158054711,2.86744134361321,107,132,81.06060606060606,-1.826960504630482,-9.095883761456964
h2_hit_3_4h,bear_all,top100,0.1,13200,17.984848484848484,13,61.53846153846154,3.4216836238740203,12,132,9.090909090909092,-5.112249045484389,
h2_hit_3_4h,bear_all,top100,0.5,13200,17.984848484848484,66,51.515151515151516,2.864363942712721,40,132,30.303030303030305,-4.713923050043103,-13.55971382405581
