feature,market,date,first,touched_tp,touched_sl,both_touched,tp_bar,sl_bar,ambiguous_bar,intraday_max,intraday_min,eod_ret,n_bars,net_hard_sl_path,net_tp_eod_noSL,net_timestop_4h,net_eod_tpcap,net_trailing_3pct
f_atr_xs_decile,KRW-AXL,2026-05-03,sl,False,True,False,,11.0,,0.08771929824561409,-0.07017543859649122,-0.07017543859649122,96,-0.051500000000000004,-0.07167543859649123,-0.051500000000000004,-0.07167543859649123,-0.051500000000000004
f_atr_xs_decile,KRW-AXS,2026-05-03,none,False,False,False,,,,0.0004892367906066397,-0.049412915851272055,-0.03913894324853229,96,-0.04063894324853229,-0.04063894324853229,-0.021558708414872785,-0.04063894324853229,-0.04063894324853229
f_atr_xs_decile,KRW-BIO,2026-05-03,sl,True,True,True,,4.0,,0.13551401869158886,-0.11214953271028028,0.0502336448598133,96,-0.051500000000000004,0.0985,-0.051500000000000004,0.0985,-0.0020373831775700167
f_atr_xs_decile,KRW-BIRB,2026-05-03,none,False,False,False,,,,0.0653266331658291,-0.02010050251256279,0.03015075376884413,90,0.02865075376884413,0.02865075376884413,-0.016575376884422066,0.02865075376884413,0.031866834170854175
f_atr_xs_decile,KRW-BLUR,2026-05-03,none,False,False,False,,,,0.07462686567164178,-0.044776119402985204,-0.03233830845771157,96,-0.033838308457711574,-0.033838308457711574,-0.028863184079602033,-0.033838308457711574,0.04088805970149251
f_atr_xs_decile,KRW-CFG,2026-05-03,none,False,False,False,,,,0.016181229773462702,-0.02588996763754048,-0.009708737864077666,94,-0.011208737864077665,-0.011208737864077665,-0.020917475728155333,-0.011208737864077665,-0.011208737864077665
f_atr_xs_decile,KRW-CPOOL,2026-05-03,tp,True,False,False,6.0,,,0.3595800524934383,0.0,0.2020997375328082,96,0.0985,0.0985,0.0985,0.0985,0.014326771653543182
f_atr_xs_decile,KRW-DRIFT,2026-05-03,none,False,False,False,,,,0.08301404853129002,-0.03831417624521072,-0.02043422733077893,96,-0.021934227330778933,-0.021934227330778933,0.008717113665389466,-0.021934227330778933,0.032918901660281163
f_atr_xs_decile,KRW-ENSO,2026-05-03,sl,False,True,False,,31.0,,0.0,-0.0517821116341628,-0.04976462676529925,96,-0.051500000000000004,-0.05126462676529925,-0.0351247478143914,-0.05126462676529925,-0.051500000000000004
f_atr_xs_decile,KRW-FLUID,2026-05-03,none,False,False,False,,,,0.003784693019343921,-0.024390243902439046,-0.006307821698906646,92,-0.007807821698906646,-0.007807821698906646,-0.004864171572750263,-0.007807821698906646,-0.007807821698906646
f_atr_xs_decile,KRW-HYPER,2026-05-03,none,False,False,False,,,,0.02857142857142847,-0.02285714285714291,0.017142857142857126,88,0.015642857142857125,0.015642857142857125,-0.012928571428571454,0.015642857142857125,0.015642857142857125
