target,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
first15_t10,prev_daily,2,2.0,18056,222,361,10,1.2295081967213115,2.7700831024930745,2.253000923361034
first15_t10,prev_daily,2,5.0,18056,222,902,17,1.2295081967213115,1.8847006651884701,1.532889874353289
first15_t10,prev_daily,3,0.5,17264,189,86,1,1.0947636700648748,1.1627906976744187,1.0621385505106435
first15_t10,prev_daily,3,1.0,17264,189,172,3,1.0947636700648748,1.744186046511628,1.5932078257659652
first15_t10,prev_daily,3,2.0,17264,189,345,4,1.0947636700648748,1.1594202898550725,1.0590598880453952
first15_t10,prev_daily,3,5.0,17264,189,863,11,1.0947636700648748,1.2746234067207416,1.164290925588724
first15_t10,preopen_15m,1,0.5,16655,57,83,4,0.34223956769738817,4.819277108433735,14.081589515958571
first15_t10,preopen_15m,1,1.0,16655,57,166,4,0.34223956769738817,2.4096385542168677,7.040794757979286
first15_t10,preopen_15m,1,2.0,16655,57,333,7,0.34223956769738817,2.1021021021021022,6.142194826405353
first15_t10,preopen_15m,1,5.0,16655,57,832,16,0.34223956769738817,1.9230769230769231,5.619095816464237
first15_t10,preopen_15m,2,0.5,18056,222,90,9,1.2295081967213115,10.0,8.133333333333335
first15_t10,preopen_15m,2,1.0,18056,222,180,17,1.2295081967213115,9.444444444444445,7.681481481481481
first15_t10,preopen_15m,2,2.0,18056,222,361,23,1.2295081967213115,6.3711911357340725,5.181902123730379
first15_t10,preopen_15m,2,5.0,18056,222,902,35,1.2295081967213115,3.8802660753880267,3.1559497413155952
first15_t10,preopen_15m,3,0.5,17264,189,86,2,1.0947636700648748,2.3255813953488373,2.124277101021287
first15_t10,preopen_15m,3,1.0,17264,189,172,9,1.0947636700648748,5.232558139534884,4.779623477297896
first15_t10,preopen_15m,3,2.0,17264,189,345,17,1.0947636700648748,4.9275362318840585,4.50100452419293
first15_t10,preopen_15m,3,5.0,17264,189,863,34,1.0947636700648748,3.9397450753186556,3.5987174063651466
first15_t10,prev_daily+preopen_15m,1,0.5,16655,57,83,0,0.34223956769738817,0.0,0.0
first15_t10,prev_daily+preopen_15m,1,1.0,16655,57,166,2,0.34223956769738817,1.2048192771084338,3.520397378989643
first15_t10,prev_daily+preopen_15m,1,2.0,16655,57,333,4,0.34223956769738817,1.2012012012012012,3.509825615088773
first15_t10,prev_daily+preopen_15m,1,5.0,16655,57,832,9,0.34223956769738817,1.0817307692307692,3.1607413967611335
first15_t10,prev_daily+preopen_15m,2,0.5,18056,222,90,5,1.2295081967213115,5.555555555555555,4.518518518518518
first15_t10,prev_daily+preopen_15m,2,1.0,18056,222,180,12,1.2295081967213115,6.666666666666667,5.4222222222222225
first15_t10,prev_daily+preopen_15m,2,2.0,18056,222,361,20,1.2295081967213115,5.540166204986149,4.506001846722068
first15_t10,prev_daily+preopen_15m,2,5.0,18056,222,902,32,1.2295081967213115,3.5476718403547673,2.885439763488544
first15_t10,prev_daily+preopen_15m,3,0.5,17264,189,86,4,1.0947636700648748,4.651162790697675,4.248554202042574
first15_t10,prev_daily+preopen_15m,3,1.0,17264,189,172,4,1.0947636700648748,2.3255813953488373,2.124277101021287
first15_t10,prev_daily+preopen_15m,3,2.0,17264,189,345,10,1.0947636700648748,2.898550724637681,2.6476497201134883
first15_t10,prev_daily+preopen_15m,3,5.0,17264,189,863,25,1.0947636700648748,2.8968713789107765,2.646115739974373
first15_t20,prev_daily,1,0.5,16655,8,83,0,0.048033623536475535,0.0,0.0
first15_t20,prev_daily,1,1.0,16655,8,166,0,0.048033623536475535,0.0,0.0
first15_t20,prev_daily,1,2.0,16655,8,333,0,0.048033623536475535,0.0,0.0
first15_t20,prev_daily,1,5.0,16655,8,832,2,0.048033623536475535,0.2403846153846154,5.004507211538462
first15_t20,prev_daily,2,0.5,18056,52,90,0,0.28799291094373064,0.0,0.0
first15_t20,prev_daily,2,1.0,18056,52,180,0,0.28799291094373064,0.0,0.0
first15_t20,prev_daily,2,2.0,18056,52,361,0,0.28799291094373064,0.0,0.0
first15_t20,prev_daily,2,5.0,18056,52,902,3,0.28799291094373064,0.3325942350332594,1.1548695207231792
first15_t20,prev_daily,3,0.5,17264,46,86,0,0.26645041705282674,0.0,0.0
