head,fold,leaf,rule,depth,support_train,support_val,support_val_top100,pos_train_pct,pos_val_pct,pos_val_top100_pct,base_val_pct,lift_val,lift_val_top100,fail_eod_val_pct
h2_hit_3_4h,5,6,atr_pct_14 <= +0.064 AND log_return_1d > +0.032 AND btc_return_5d <= +0.131,3,4439,1802,1113,20.635278215814374,14.983351831298558,19.67654986522911,11.606552815554242,1.2909390125911444,1.6952966292334497,0.1033021230175431
h2_hit_3_4h,5,10,atr_pct_14 > +0.064 AND log_return_1d <= +0.044 AND atr_pct_14 <= +0.090,3,22305,7284,4733,15.651199282672046,12.108731466227347,13.73336150433129,11.606552815554242,1.0432668216526895,1.1832420635631673,-0.4751745715675153
h2_hit_3_4h,5,11,atr_pct_14 > +0.064 AND log_return_1d <= +0.044 AND atr_pct_14 > +0.090,3,18880,4425,3281,23.64406779661017,18.983050847457626,21.334958854007922,11.606552815554242,1.6355459841631832,1.8381822056085761,-0.8038307284378914
h2_hit_3_4h,5,13,atr_pct_14 > +0.064 AND log_return_1d > +0.044 AND roc_3d <= +0.935,3,4826,1092,840,33.920430998756736,24.175824175824175,28.095238095238095,11.606552815554242,2.082946121903269,2.420635871969405,0.015373673848781853
h2_hit_3_4h,5,14,atr_pct_14 > +0.064 AND log_return_1d > +0.044 AND roc_3d > +0.935,3,1963,552,537,55.06877228731534,47.46376811594203,48.4171322160149,11.606552815554242,4.089394057840723,4.171534217388805,-2.5028310492928147
h5_tail_20,1,3,log_return_1d <= +0.048 AND atr_pct_14 <= +0.082 AND range_contraction_3d <= +0.129,3,1476,1251,1221,1.2872628726287263,1.1191047162270185,1.1466011466011465,1.6051954417350813,0.6971766098571525,0.7143062562909891,0.04447903978754128
h5_tail_20,1,4,log_return_1d <= +0.048 AND atr_pct_14 <= +0.082 AND range_contraction_3d > +0.129,3,11357,10582,10008,0.272959408294444,0.6615006615006614,0.6694644284572342,1.6051954417350813,0.4120997632448014,0.41706100768240373,0.3808505654147935
h5_tail_20,1,6,log_return_1d <= +0.048 AND atr_pct_14 > +0.082 AND macd <= +0.647,3,588,1353,1281,1.0204081632653061,2.4390243902439024,1.717408274785324,1.6051954417350813,1.5194563396015641,1.0699060252307657,-0.04120739073238285
h5_tail_20,1,7,log_return_1d <= +0.048 AND atr_pct_14 > +0.082 AND macd > +0.647,3,713,1728,1708,3.9270687237026647,3.0671296296296298,2.9859484777517564,1.6051954417350813,1.9107515196494207,1.8601775211398537,-0.2111857132795201
h5_tail_20,1,8,log_return_1d > +0.048,1,605,1408,1382,6.776859504132231,6.534090909090909,6.58465991316932,1.6051954417350813,4.070589000693962,4.102092332166017,-0.6523765159089616
h5_tail_20,2,3,vol_5d <= +0.830 AND log_return_1d <= +0.035 AND atr_pct_14 <= +0.068,3,18921,6959,5868,0.3858147032397865,0.3879867797097284,0.34083162917518744,1.1828883146712603,0.3279995033322777,0.28813508845077135,-0.313884305969583
h5_tail_20,2,4,vol_5d <= +0.830 AND log_return_1d <= +0.035 AND atr_pct_14 > +0.068,3,4648,5497,4989,1.0972461273666092,1.1096961979261415,1.0823812387251954,1.1828883146712603,0.9381242372273668,0.9150324889514213,-0.03812069036579693
h5_tail_20,2,6,vol_5d <= +0.830 AND log_return_1d > +0.035 AND btc_return_21d <= +0.104,3,1245,1210,1097,1.9277108433734942,1.0743801652892562,1.0938924339106655,1.1828883146712603,0.9082684746850678,0.9247639192502058,-0.8178182050644276
h5_tail_20,2,7,vol_5d <= +0.830 AND log_return_1d > +0.035 AND btc_return_21d > +0.104,3,786,717,678,4.4529262086514,4.463040446304045,4.277286135693215,1.1828883146712603,3.773002396717715,3.615967866655211,0.7691141955161455
h5_tail_20,2,10,vol_5d > +0.830 AND return_7d <= +0.910 AND atr_pct_14 <= +0.083,3,2112,986,954,0.7102272727272727,0.7099391480730223,0.628930817610063,1.1828883146712603,0.6001742846452274,0.5316907858582158,-0.6939392969983497
h5_tail_20,2,11,vol_5d > +0.830 AND return_7d <= +0.910 AND atr_pct_14 > +0.083,3,1436,1098,1070,3.2729805013927575,1.7304189435336976,1.7757009345794394,1.1828883146712603,1.4628760146426867,1.5011568823155794,-0.34181621440828713
h5_tail_20,2,13,vol_5d > +0.830 AND return_7d > +0.910 AND log_return_1d <= +0.059,3,1303,650,647,4.98848810437452,3.5384615384615383,3.554868624420402,1.1828883146712603,2.9913741598207615,3.005244519139869,-0.6969028539334956
h5_tail_20,2,14,vol_5d > +0.830 AND return_7d > +0.910 AND log_return_1d > +0.059,3,574,298,297,13.588850174216027,8.053691275167784,8.080808080808081,1.1828883146712603,6.808496774613931,6.831421006178289,-1.8855226537241279
h5_tail_20,3,3,roc_7d <= +0.906 AND atr_pct_14 <= +0.065 AND log_return_1d <= +0.037,3,25397,7540,5420,0.35831003661849825,0.583554376657825,0.6273062730627307,1.8333837010174274,0.3182936426968257,0.34215765784031466,-0.10556422369104414
h5_tail_20,3,4,roc_7d <= +0.906 AND atr_pct_14 <= +0.065 AND log_return_1d > +0.037,3,1776,978,780,2.2522522522522523,3.374233128834356,2.6923076923076925,1.8333837010174274,1.8404402346120137,1.468491124260355,1.0244742125172404
h5_tail_20,3,6,roc_7d <= +0.906 AND atr_pct_14 > +0.065 AND atr_pct_14 <= +0.167,3,15878,9161,7298,1.2470084393500442,2.106756904268093,2.027952863798301,1.8333837010174274,1.1491085598169977,1.1061257186222928,0.1657816530605306
h5_tail_20,3,7,roc_7d <= +0.906 AND atr_pct_14 > +0.065 AND atr_pct_14 > +0.167,3,531,245,222,6.779661016949152,0.8163265306122449,0.45045045045045046,1.8333837010174274,0.44525678403229424,0.2456934956934957,0.3575421551995537
h5_tail_20,3,10,roc_7d > +0.906 AND vol_5d <= +0.615 AND btc_return_3d <= -0.007,3,515,199,183,0.0,0.5025125628140703,0.546448087431694,1.8333837010174274,0.27409023137666355,0.2980544046117816,-0.08936990793991492
