axis,param,feats,n_estimators,max_depth,learning_rate,min_child_weight,reg_lambda,universe,cal_buckets,rr_eps,tie_break,n,n_days,net_mean,net_median,sharpe,sortino,mdd,cum,hit,pct_sl,deep_loss_noSL,precision_pump20,cvar95,worst,pct_tp,pct_eod,fold_net_min,fold_net_pos_frac,d_net_mean,d_sharpe,d_sortino,d_mdd,d_hit,d_pct_sl,d_deep_loss_noSL,d_precision_pump20,d_cvar95
B_hp,learning_rate=0.1,baseline,180,4,0.1,5,1.5,100,10,0.001,True,1531,765,-0.003611105479253153,-0.014231944435028452,-3.2128839998311287,-5.747312517888482,-0.9124701585089061,-0.9078328508761231,0.3807968647942521,0.44937949052906595,0.12606139777922926,0.03069888961463096,-0.031499999999999986,-0.0315,0.1959503592423253,0.35467015022860876,-0.006408971565280926,0.16666666666666666,-0.0007676351949743943,-0.7103353403468042,-1.2587827706419672,-0.040864076769751345,-0.010450685826257355,-0.006531678641410854,-0.008491182233834105,-0.0058785107772697555,0.0
B_hp,learning_rate=0.03,baseline,180,4,0.03,5,1.5,100,10,0.001,True,1531,765,-0.0036492576693180176,-0.017450060974873505,-3.2738957223056264,-5.778077338748922,-0.9169747004408393,-0.9093624989239438,0.3762246897452645,0.4761593729588504,0.13716525146962769,0.032658393207054215,-0.031499999999999986,-0.0315,0.2155453951665578,0.3082952318745918,-0.0052250843404394965,0.16666666666666666,-0.0008057873850392588,-0.7713470628213019,-1.2895475915024068,-0.045368618701684515,-0.015022860875244959,0.02024820378837361,0.002612671456564325,-0.003919007184846501,0.0
C_universe,top50,baseline,180,4,0.05,5,1.5,50,10,0.001,True,1531,765,-0.0022703901296199486,-0.0178228005153232,-1.9566945746285107,-3.56808023931987,-0.8341661712610907,-0.8190451481673715,0.39386022207707383,0.4813847158719791,0.1698236446766819,0.050293925538863485,-0.031499999999999986,-0.0315,0.2495101241018942,0.2691051600261267,-0.0034961071083556383,0.16666666666666666,0.0005730801546588102,0.5458540848558138,0.9204495079266453,0.037439910478064053,0.0026126714565643527,0.025473546701502314,0.03527106466361854,0.013716525146962769,0.0
C_universe,top150,baseline,180,4,0.05,5,1.5,150,10,0.001,True,1531,765,-0.003196904845910145,-0.011948453482410968,-2.842461043177516,-5.082127326578895,-0.8929062495169271,-0.886090435376229,0.3886348791639451,0.43827563683866755,0.11234487263226649,0.03069888961463096,-0.031499999999999986,-0.0315,0.19203135205747876,0.36969301110385366,-0.004804198142914899,0.16666666666666666,-0.00035343456163138606,-0.33991238369319143,-0.5935975793323802,-0.021300167777772328,-0.0026126714565643527,-0.017635532331809256,-0.022207707380796873,-0.0058785107772697555,0.0
D_calib,bk15,baseline,180,4,0.05,5,1.5,100,15,0.001,True,1531,765,-0.002411489343935475,-0.013454992967651234,-2.0913233867989445,-3.815151559279303,-0.841534863663045,-0.8312775247344102,0.3945133899412149,0.4519921619856303,0.1456564337034618,0.033311561071195296,-0.031499999999999986,-0.0315,0.22730241672109733,0.3207054212932724,-0.0048740654333336115,0.16666666666666666,0.0004319809403432839,0.41122527268538,0.673378187967212,0.030071218076109796,0.0032658393207053993,-0.003919007184846501,0.01110385369039843,-0.00326583932070542,0.0
D_calib,bk8,baseline,180,4,0.05,5,1.5,100,8,0.001,True,1531,765,-0.00349943000254241,-0.015641414141414234,-3.102477867291754,-5.525978724834582,-0.9084068827039974,-0.9025365146946972,0.380143696930111,0.4637491835401698,0.12606139777922926,0.027433050293925537,-0.031499999999999986,-0.0315,0.21097322011757022,0.32527759634225994,-0.005348622636623332,0.16666666666666666,-0.000655959718263651,-0.5999292078074294,-1.0374489775880669,-0.03680080096484262,-0.011103853690398457,0.007838014369693003,-0.008491182233834105,-0.009144350097975179,0.0
E_rreps,eps=0.01,baseline,180,4,0.05,5,1.5,100,10,0.01,True,1531,765,-0.002843470284278759,-0.01408992805755399,-2.5025486594843245,-4.488529747246515,-0.8716060817391548,-0.8640067909209826,0.3912475506205095,0.4559111691704768,0.13455258001306336,0.036577400391900716,-0.031499999999999986,-0.0315,0.2194644023514043,0.3246244284781189,-0.005148093512971383,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_rreps,eps=0.0001,baseline,180,4,0.05,5,1.5,100,10,0.0001,True,1531,765,-0.002843470284278759,-0.01408992805755399,-2.5025486594843245,-4.488529747246515,-0.8716060817391548,-0.8640067909209826,0.3912475506205095,0.4559111691704768,0.13455258001306336,0.036577400391900716,-0.031499999999999986,-0.0315,0.2194644023514043,0.3246244284781189,-0.005148093512971383,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_rreps,no_tiebreak,baseline,180,4,0.05,5,1.5,100,10,0.001,False,1531,765,-0.003149223734322324,-0.014410166756320618,-2.7801620831103673,-5.018162981622882,-0.8900772054278197,-0.8835711707587699,0.38602220770738077,0.45917700849118226,0.1365120836054866,0.035924232527759635,-0.031499999999999986,-0.0315,0.2161985630306989,0.3246244284781189,-0.004940353679921354,0.16666666666666666,-0.0003057534500435651,-0.2776134236260428,-0.5296332343763668,-0.01847112368866488,-0.0052253429131287055,0.003265839320705455,0.0019595035924232507,-0.0006531678641410812,0.0
baseline,-,baseline,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.002843470284278759,-0.01408992805755399,-2.5025486594843245,-4.488529747246515,-0.8716060817391548,-0.8640067909209826,0.3912475506205095,0.4559111691704768,0.13455258001306336,0.036577400391900716,-0.031499999999999986,-0.0315,0.2194644023514043,0.3246244284781189,-0.005148093512971383,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
