feature,label,regime,oos_prec,oos_base,oos_lift,oos_n,n_folds_used,signal_dir,net_mean,net_sharpe,n_trades,win_rate,tp_rate,sl_rate
f_log_qv,lab_pump20,bear_quiet,0.04244954766875435,0.011710418298633013,3.6249386303911613,1437,3,high,-0.006844997343233775,-5.4835706312114665,1437,0.3924843423799583,0.09046624913013222,0.34585942936673625
f_qv_surge_30d,lab_pump20,bear_quiet,0.04228121927236971,0.012112941253953905,3.4905823768086286,3051,3,high,-0.0038665768889078853,-3.6485586456756245,3051,0.39593575876761716,0.10783349721402818,0.31530645689937725
f_bounce_off_7d_low,lab_pump20,bear_quiet,0.04234527687296417,0.012256715278573325,3.454863387990288,2763,3,high,-0.005069646395973366,-3.1314831384130457,2763,0.3937748823742309,0.1179876945349258,0.3688020267824828
f_ret_3d,lab_pump20,bear_quiet,0.04193758127438232,0.012467021124950536,3.3638814640693653,3076,3,high,-0.002243113773291816,-4.855699357001482,3076,0.4203511053315995,0.11118335500650195,0.30624187256176855
f_qv_surge_7d,lab_pump20,bear_quiet,0.041695865451997195,0.012757774911337479,3.268270975289213,2854,3,high,-0.002736637603815428,-3.299795257248598,2854,0.40749824807288015,0.10056061667834618,0.27680448493342674
f_rv_7d,lab_pump20,bear_quiet,0.04020259575815131,0.012924524947756444,3.110566610429271,3159,3,high,-0.0038692741798010233,-1.3261785116239644,3159,0.39791073124406456,0.12567268122823677,0.3668882557771447
f_qv_rank_pct,lab_pump20,bear_quiet,0.03872053872053872,0.013061150904221658,2.9645579478010142,2970,3,high,-0.007512635231604844,-5.116652178836795,2970,0.36902356902356903,0.09191919191919191,0.3414141414141414
f_ret_7d,lab_pump20,bear_quiet,0.03548593350383632,0.012523454394190942,2.8335579295355298,3128,3,high,-0.0054308869574850845,-2.879168329169308,3128,0.3887468030690537,0.1010230179028133,0.32768542199488493
f_roc_7d,lab_pump20,bear_quiet,0.03548593350383632,0.012523454394190942,2.8335579295355298,3128,3,high,-0.0054308869574850845,-2.879168329169308,3128,0.3887468030690537,0.1010230179028133,0.32768542199488493
f_ret_14d,lab_pump20,bear_quiet,0.03403863845446182,0.012199244840248728,2.79022504263205,3261,3,high,-0.005435073765690759,-2.384116311890278,3261,0.3802514566084023,0.10671573137074516,0.34191965654707146
f_atr_xs_decile,lab_pump20,bear_quiet,0.030712116098548767,0.012944974970513898,2.372512590291207,2963,3,high,-0.002772572940694478,-1.0376294551602123,2963,0.4087073911576105,0.11441106986162673,0.3263584205197435
f_rv_21d,lab_pump20,bear_quiet,0.03170028818443804,0.013688242562636108,2.3158771507284817,3470,3,high,-0.004752395581226876,-1.0640171906201135,3470,0.3962536023054755,0.10518731988472622,0.3389048991354467
f_atr_pct_14,lab_pump20,bear_quiet,0.02738336713995943,0.013864224553178602,1.9751098977750865,3944,3,high,-0.0051403389738059494,-0.7004491916061727,3944,0.393762677484787,0.10065922920892495,0.3435598377281947
f_bounce_off_7d_low,lab_pump20,bear_volatile,0.07239669421487603,0.02464153104027785,2.937994968597524,3025,3,high,-0.012581949077162528,-10.031689079847858,3025,0.28793388429752065,0.13487603305785123,0.4991735537190083
f_qv_surge_30d,lab_pump20,bear_volatile,0.06650135256988278,0.024299298322213017,2.736760201387835,4436,3,high,-0.009019766157727463,-9.077688418249064,4436,0.33160504959422904,0.12601442741208296,0.41839495040577096
f_qv_surge_7d,lab_pump20,bear_volatile,0.06365816437758884,0.024664596525406896,2.580952999251978,4587,3,high,-0.005812658574149751,-5.493258486654979,4587,0.3627643339873556,0.12622629169391758,0.3660344451711358
