label,feature,threshold,n_folds_ok,base_mean,prec_mean,lift_mean,lift_min,lift_std,recall_mean,sel_rate_mean,n_sel_total,folds_lift_gt1
pump15,qv_ratio_med_30d,1.5,5,0.03143680752145912,0.06157166999289261,1.9675482536445539,1.8550271029063221,0.10255751098496176,0.5404930845810905,0.27579124898947305,41938,5
pump15,qv_ratio_med_14d,1.5,5,0.03175720212668839,0.0601830810600877,1.9010773805822594,1.8120696308023971,0.07475642577752911,0.4725977821935959,0.249036996254396,38542,5
pump15,qv_rank_xs,0.8,5,0.03221163338232962,0.0589084618215856,1.8365278226963064,1.7136484384871469,0.14193177872799193,0.3746170415850014,0.20397619965012082,32033,5
pump15,qv_ratio_med_7d,1.5,5,0.032023998074162535,0.05792980363659117,1.8055276695126792,1.77483001602271,0.030599993670694384,0.39383995142121847,0.21814644927620278,34131,5
pump15,qv_ratio_med_max_3d,2.0,5,0.03175720212668839,0.054108626417755545,1.7299019677517755,1.575353217901985,0.14342033606617846,0.5673442075275883,0.32980566029966707,51370,5
pump15,qv_consec_up,4.0,5,0.03221163338232962,0.0537437345756203,1.5935120839116965,0.82374027536447,0.44042560235034306,0.02391035310955711,0.014864359919609488,2286,4
pump15,qv_rank_jump_3d,0.1,5,0.03193573798703232,0.05027352583766385,1.5911978850158128,1.4660093665112424,0.09641371540987509,0.34049075049892397,0.21473994374376168,33686,5
pump15,qv_consec_up,3.0,5,0.03221163338232962,0.048419887653994256,1.4613831016178345,1.1465627152888778,0.18906531131406734,0.07777097431640798,0.053301154251131154,8267,5
pump15,qv_consec_up,2.0,5,0.03221163338232962,0.041908547026271406,1.28452785443516,1.1288764514132326,0.13025717152007713,0.21969605741038833,0.1714862178698789,26775,5
pump20,qv_zscore_30d,3.0,5,0.01609084553492266,0.06793233615770074,4.332004622994572,3.8825648824192687,0.3889735277190462,0.14400720371834377,0.03348904077555638,5100,5
pump20,qv_ratio_med_14d,5.0,5,0.016169922531690764,0.06503281391669227,4.099457717893576,3.440446198995455,0.4047154355191621,0.25614814756917825,0.06303360339503425,10041,5
pump20,qv_ratio_med_30d,5.0,5,0.01599487960523237,0.06330695472378514,4.0527120057720305,3.3339598624372138,0.4371268028725856,0.31755581250278164,0.079180944789819,12285,5
pump20,qv_ratio_med_7d,5.0,5,0.016385675859174952,0.06353452778749145,3.911386595092553,3.5280751652154234,0.265101396841169,0.19467197654591645,0.050124240686168796,8097,5
pump20,qv_zscore_30d,2.0,5,0.01609084553492266,0.05544806676083205,3.445319736324348,3.3817396078748314,0.08581428467401757,0.1973337933322044,0.057318402046321215,8630,5
pump20,qv_ratio_med_14d,3.0,5,0.016169922531690764,0.05113920690972591,3.1944927582882268,2.96763537587382,0.14257697212832202,0.3428916147075768,0.10772239624236665,16873,5
pump20,qv_ratio_med_30d,3.0,5,0.01599487960523237,0.04965186154122988,3.1552954273661094,2.825543865368627,0.2462444109149206,0.41203230135481556,0.1315108451499035,20111,5
