strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
distribution_beta,TP3_SL3,0.2,1260,181,-0.2868367327920474,48.17460317460318,-50.57447237706211,-4.799961794006191,-53.96346401581022,-3.2
distribution_beta,TP3_only,0.15,1260,181,0.1766180372821924,66.98412698412697,37.98556103718054,1.7971623882596126,-36.76444527962365,-8.774321397939001
vol_momentum,TP3_only,0.15,1261,183,0.11777245846160196,65.90007930214115,38.38699698049097,1.7768229480956927,-28.250292432293012,-5.76106331299085
setup_momentum,TP3_only,0.15,1265,187,0.13580984685429257,65.9288537549407,36.409496701447644,1.700082764833448,-36.290225056962846,-8.774321397939001
setup_only,TP3_only,0.15,1263,185,0.11359903926736294,65.95407759303247,22.627495675289143,1.1805308178917373,-38.391192433763685,-8.774321397939001
momentum_1d,TP3_only,0.15,1263,185,0.10934204562599137,65.7957244655582,22.029700824803133,1.1573138395721714,-37.70008168606698,-8.774321397939001
random_top100,TP3_only,0.15,1302,223,-0.3243290345810779,52.995391705069125,-47.10954098141574,-2.050653772358596,-50.484951838195016,-9.151657579659716
atr_14,TP3_only,0.15,1260,181,-0.4135647358192559,59.12698412698413,-46.7467695009364,-2.3802019057484243,-51.2660314551772,-12.878222018808504
distribution_beta,TP3_only,0.2,1260,181,0.12661803728219242,66.9047619047619,26.061043810054162,1.350216305802612,-38.52555673576415,-8.824321397939002
vol_momentum,TP3_only,0.2,1261,183,0.06777245846160196,65.90007930214115,26.301509358498308,1.3351046578946593,-30.66142238363401,-5.81106331299085
setup_momentum,TP3_only,0.2,1265,187,0.08580984685429256,65.9288537549407,24.247025354277273,1.2499585802303452,-38.064307602552994,-8.824321397939002
setup_only,TP3_only,0.2,1263,185,0.06359903926736295,65.87490102929533,11.799590415269968,0.7401083482721562,-40.10779372602862,-8.824321397939002
momentum_1d,TP3_only,0.2,1263,185,0.05934204562599137,65.7957244655582,11.254309507483228,0.7168384345594726,-39.43560454261961,-8.824321397939002
random_top100,TP3_only,0.2,1302,223,-0.37432903458107786,52.45775729646698,-52.70790718968955,-2.4506251050114183,-54.719712269301844,-9.201657579659715
atr_14,TP3_only,0.2,1260,181,-0.46356473581925595,58.65079365079365,-51.37247431269629,-2.758034979836904,-54.986249942560164,-12.928222018808505
random_top100,TP5_SL3,0.15,1302,223,-0.2415332473363488,40.93701996927803,-42.43739293043818,-1.950750280390509,-48.43127144101499,-3.15
setup_momentum,TP5_SL3,0.15,1265,187,-0.12265537767027417,39.05138339920949,-38.838673680788396,-2.3365070758457636,-49.6347160314657,-3.15
setup_only,TP5_SL3,0.15,1263,185,-0.0868713321194231,39.19239904988123,-41.18450333066443,-2.6740019224558806,-48.74258171609394,-3.15
distribution_beta,TP5_SL3,0.15,1260,181,-0.10440422081987556,39.285714285714285,-42.27839608307208,-2.828713135325341,-49.707605193373524,-3.15
